# Data for INRIM_ITYb1-PTB_Sr3_CombKnoten 
# File generated on: 2025-01-20T17:03:46+01:00
# With the script: 06-procclocks-v3.py 
# 
# t           	ΔA→B            	flag	uA_sys     	uB_sys
59639.180938	6.6427755083e-16	1	2.8906300000000002e-18	2e-17
59639.180949	1.1551565615e-15	1	2.8905400000000003e-18	2e-17
59639.180961	-1.8316560569e-15	1	2.8904500000000003e-18	2e-17
59639.180972	1.8939102373e-15	1	2.8903600000000003e-18	2e-17
59639.180984	-8.5542874974e-16	1	2.8902700000000003e-18	2e-17
59639.180995	6.3970710621e-16	1	2.8901800000000004e-18	2e-17
59639.181007	-5.4559396538e-16	1	2.8901e-18	2e-17
59639.181019	1.2990393215e-15	1	2.89001e-18	2e-17
59639.181030	1.5044072908e-15	1	2.88992e-18	2e-17
59639.181042	-6.5703824035e-16	1	2.8898300000000002e-18	2e-17
59639.181053	-3.3520061863e-16	1	2.8897400000000002e-18	2e-17
59639.181065	-3.4358220922e-15	1	2.8896500000000003e-18	2e-17
59639.181076	-2.1736298646e-15	1	2.8895600000000003e-18	2e-17
59639.181088	1.0935525194e-15	1	2.8894700000000003e-18	2e-17
59639.181100	2.7499020132e-15	1	2.8893800000000003e-18	2e-17
59639.181111	1.3987437701e-15	1	2.8893e-18	2e-17
59639.181123	-1.7920227346e-15	1	2.88921e-18	2e-17
59639.181134	-2.1107626154e-16	1	2.88912e-18	2e-17
59639.181146	5.1304426938e-17	1	2.88903e-18	2e-17
59639.181157	1.0691823097e-15	1	2.8889400000000002e-18	2e-17
59639.181169	4.6434144117e-16	1	2.8888500000000002e-18	2e-17
59639.181181	-1.4760641595e-15	1	2.8887600000000003e-18	2e-17
59639.181192	-3.5173558343e-16	1	2.8886700000000003e-18	2e-17
59639.181238	5.5396692632e-16	1	2.88832e-18	2e-17
59639.181250	1.6063825137e-15	1	2.88823e-18	2e-17
59639.181262	-3.4876802190e-16	1	2.88814e-18	2e-17
59639.181273	1.0240416708e-15	1	2.8880500000000002e-18	2e-17
59639.181331	-2.0182487267e-15	1	2.88761e-18	2e-17
59639.181343	-1.0315827165e-15	1	2.88752e-18	2e-17
59639.181354	8.1241748743e-18	1	2.88743e-18	2e-17
59639.181366	1.0599417398e-15	1	2.8873500000000003e-18	2e-17
59639.181377	-6.7914286705e-16	1	2.8872600000000003e-18	2e-17
59639.181389	4.1843731604e-16	1	2.8871700000000003e-18	2e-17
59639.181400	-1.4862112485e-15	1	2.8870800000000004e-18	2e-17
59639.181412	1.1165453008e-15	1	2.8869900000000004e-18	2e-17
59639.181424	1.5580987022e-15	1	2.8869e-18	2e-17
