# Data for PTB_Yb_CombKnoten-SYRTE_Sr2 
# File generated on: 2025-01-20T17:03:35+01:00
# With the script: 06-procclocks-v3.py 
# 
# t           	ΔA→B             	flag	uA_sys 	uB_sys 
59639.002141	-3.9378773476e-15	1	1.7e-17	2.7e-18
59639.002153	-3.3455412784e-15	1	1.7e-17	2.7e-18
59639.002164	-3.5593671226e-15	1	1.7e-17	2.7e-18
59639.002176	-3.3447789487e-15	1	1.7e-17	2.7e-18
59639.002187	-3.0534080852e-15	1	1.7e-17	2.7e-18
59639.002199	-4.4472050351e-15	1	1.7e-17	2.7e-18
59639.002211	-6.8859746735e-15	1	1.7e-17	2.7e-18
59639.002222	-6.5154756861e-15	1	1.7e-17	2.7e-18
59639.002234	-6.8149204677e-15	1	1.7e-17	2.7e-18
59639.002245	-6.5019570403e-15	1	1.7e-17	2.7e-18
59639.002257	-5.3836397688e-15	1	1.7e-17	2.7e-18
59639.002269	-4.5854026956e-15	1	1.7e-17	2.7e-18
59639.002280	-6.4288665672e-15	1	1.7e-17	2.7e-18
59639.002292	-6.2110393394e-15	1	1.7e-17	2.7e-18
59639.002303	-6.4146694480e-15	1	1.7e-17	2.7e-18
59639.002315	-6.7000229895e-15	1	1.7e-17	2.7e-18
59639.002326	-3.6269789865e-15	1	1.7e-17	2.7e-18
59639.002338	-5.7264526373e-15	1	1.7e-17	2.7e-18
59639.002350	-4.8644178895e-15	1	1.7e-17	2.7e-18
59639.002361	-5.5831219571e-15	1	1.7e-17	2.7e-18
59639.002373	-5.7842304487e-15	1	1.7e-17	2.7e-18
59639.002384	-7.2345033203e-15	1	1.7e-17	2.7e-18
59639.002396	-5.4799541912e-15	1	1.7e-17	2.7e-18
59639.002407	-2.6871103812e-15	1	1.7e-17	2.7e-18
59639.002419	-5.0000939329e-15	1	1.7e-17	2.7e-18
59639.002431	-2.6421041326e-15	1	1.7e-17	2.7e-18
59639.002442	-4.5962565758e-15	1	1.7e-17	2.7e-18
59639.002454	-5.0384713017e-15	1	1.7e-17	2.7e-18
59639.002465	-5.7540396533e-15	1	1.7e-17	2.7e-18
59639.002477	-6.0287993537e-15	1	1.7e-17	2.7e-18
59639.002488	-5.1810303348e-15	1	1.7e-17	2.7e-18
59639.002500	-3.3419269888e-15	1	1.7e-17	2.7e-18
59639.002512	-3.7804867675e-15	1	1.7e-17	2.7e-18
59639.002523	-5.3637810813e-15	1	1.7e-17	2.7e-18
59639.002535	-5.5303653570e-15	1	1.7e-17	2.7e-18
59639.002546	-5.3659511798e-15	1	1.7e-17	2.7e-18
59639.002558	-6.4312772230e-15	1	1.7e-17	2.7e-18
59639.002569	-7.6640074698e-15	1	1.7e-17	2.7e-18
59639.002581	-7.7779494949e-15	1	1.7e-17	2.7e-18
59639.002593	-6.5816255712e-15	1	1.7e-17	2.7e-18
59639.002604	-6.5609867664e-15	1	1.7e-17	2.7e-18
59639.002616	-7.0590150343e-15	1	1.7e-17	2.7e-18
59639.002627	-3.8020090277e-15	1	1.7e-17	2.7e-18
59639.002639	-4.9483774893e-15	1	1.7e-17	2.7e-18
59639.002650	-6.4117166912e-15	1	1.7e-17	2.7e-18
59639.002662	-6.9966751034e-15	1	1.7e-17	2.7e-18
59639.002674	-3.5582193930e-15	1	1.7e-17	2.7e-18
59639.002685	-3.8192139609e-15	1	1.7e-17	2.7e-18
59639.002697	-4.8168197201e-15	1	1.7e-17	2.7e-18
59639.002708	-5.8054596354e-15	1	1.7e-17	2.7e-18
59639.002720	-4.6770897769e-15	1	1.7e-17	2.7e-18
59639.002731	-2.7097778299e-15	1	1.7e-17	2.7e-18
59639.002743	-3.6141032387e-15	1	1.7e-17	2.7e-18
59639.002755	-6.5027490161e-15	1	1.7e-17	2.7e-18
59639.002766	-4.8013554395e-15	1	1.7e-17	2.7e-18
59639.002778	-3.4616440844e-15	1	1.7e-17	2.7e-18
59639.002789	-5.0748911773e-15	1	1.7e-17	2.7e-18
59639.002801	-7.0243070122e-15	1	1.7e-17	2.7e-18
59639.002812	-8.3342002665e-15	1	1.7e-17	2.7e-18
59639.002824	-6.7663295756e-15	1	1.7e-17	2.7e-18
59639.002836	-5.2767289643e-15	1	1.7e-17	2.7e-18
59639.002847	-5.0026858537e-15	1	1.7e-17	2.7e-18
59639.002859	-4.9382342697e-15	1	1.7e-17	2.7e-18
59639.002870	-4.0832061785e-15	1	1.7e-17	2.7e-18
59639.002882	-6.1448530319e-15	1	1.7e-17	2.7e-18
59639.002894	-3.9895192523e-15	1	1.7e-17	2.7e-18
59639.002905	-5.4334029544e-15	1	1.7e-17	2.7e-18
59639.002917	-5.3380024806e-15	1	1.7e-17	2.7e-18
59639.002928	-5.5910595029e-15	1	1.7e-17	2.7e-18
59639.002940	-6.5645409166e-15	1	1.7e-17	2.7e-18
59639.002951	-6.9636298071e-15	1	1.7e-17	2.7e-18
59639.002963	-7.8231971479e-15	1	1.7e-17	2.7e-18
59639.002975	-6.1236136807e-15	1	1.7e-17	2.7e-18
