# Data for INRIM_ITYb1-SYRTE_Sr2 
# File generated on: 2025-01-20T17:03:56+01:00
# With the script: 06-procclocks-v3.py 
# 
# t           	ΔA→B             	flag	uA_sys 	uB_sys
59639.001528	-1.0308252748e-14	1	1.7e-17	2e-17
59639.001539	-5.4502330685e-15	1	1.7e-17	2e-17
59639.001551	-6.0929096730e-15	1	1.7e-17	2e-17
59639.001563	-4.9064154475e-15	1	1.7e-17	2e-17
59639.001574	-1.2253990482e-15	1	1.7e-17	2e-17
59639.001586	-6.7420740933e-15	1	1.7e-17	2e-17
59639.001597	-4.7532290068e-15	1	1.7e-17	2e-17
59639.001609	-8.1299096147e-15	1	1.7e-17	2e-17
59639.001620	-6.3516304344e-15	1	1.7e-17	2e-17
59639.001632	-6.7715097529e-15	1	1.7e-17	2e-17
59639.001644	-4.0238123146e-15	1	1.7e-17	2e-17
59639.001655	-5.6999893166e-15	1	1.7e-17	2e-17
59639.001667	-6.3989886594e-15	1	1.7e-17	2e-17
59639.001678	-2.3052451020e-15	1	1.7e-17	2e-17
59639.001690	-4.4307257082e-15	1	1.7e-17	2e-17
59639.001701	-4.8486418515e-15	1	1.7e-17	2e-17
59639.001713	-6.8033160432e-15	1	1.7e-17	2e-17
59639.001725	-9.5450624134e-15	1	1.7e-17	2e-17
59639.001736	-6.5955648227e-15	1	1.7e-17	2e-17
59639.001748	-6.3054100642e-15	1	1.7e-17	2e-17
59639.001759	-8.4805233527e-15	1	1.7e-17	2e-17
59639.001771	-8.5620293738e-15	1	1.7e-17	2e-17
59639.001782	-1.0172819726e-14	1	1.7e-17	2e-17
59639.001794	-5.8546295428e-15	1	1.7e-17	2e-17
59639.001806	-9.0199798164e-15	1	1.7e-17	2e-17
59639.001817	-4.6391660705e-15	1	1.7e-17	2e-17
59639.001829	-5.2359865920e-15	1	1.7e-17	2e-17
59639.001840	-3.8588879241e-15	1	1.7e-17	2e-17
59639.001852	-6.3297136115e-15	1	1.7e-17	2e-17
59639.001863	-8.3039710956e-15	1	1.7e-17	2e-17
59639.001875	-6.2845209266e-15	1	1.7e-17	2e-17
59639.001887	-5.5066073481e-15	1	1.7e-17	2e-17
59639.001898	-3.1512192972e-15	1	1.7e-17	2e-17
59639.001910	-4.4155656680e-15	1	1.7e-17	2e-17
59639.001921	-4.7885728738e-15	1	1.7e-17	2e-17
59639.001933	-5.1174881665e-15	1	1.7e-17	2e-17
59639.001944	-5.0506520381e-15	1	1.7e-17	2e-17
59639.001956	-5.0826056928e-15	1	1.7e-17	2e-17
59639.001968	-6.2553202708e-15	1	1.7e-17	2e-17
59639.001979	-4.2683885685e-15	1	1.7e-17	2e-17
59639.001991	-6.7855247211e-15	1	1.7e-17	2e-17
59639.002002	-6.4032414656e-15	1	1.7e-17	2e-17
59639.002014	-6.8331831091e-15	1	1.7e-17	2e-17
59639.002025	-6.4567083512e-15	1	1.7e-17	2e-17
59639.002037	-6.8193366676e-15	1	1.7e-17	2e-17
59639.002049	-7.0169507499e-15	1	1.7e-17	2e-17
59639.002060	-9.1840228147e-15	1	1.7e-17	2e-17
59639.002072	-8.3850696633e-15	1	1.7e-17	2e-17
59639.002083	-5.7397123877e-15	1	1.7e-17	2e-17
59639.002095	-2.0862246858e-15	1	1.7e-17	2e-17
59639.002106	-3.1137638742e-15	1	1.7e-17	2e-17
59639.002118	-4.9288873024e-15	1	1.7e-17	2e-17
59639.002130	-6.9398123862e-15	1	1.7e-17	2e-17
59639.002141	-5.1938218118e-15	1	1.7e-17	2e-17
59639.002153	-4.2032958557e-15	1	1.7e-17	2e-17
59639.002164	-5.0042098190e-15	1	1.7e-17	2e-17
59639.002176	-2.1228891096e-15	1	1.7e-17	2e-17
59639.002187	-3.9195338624e-15	1	1.7e-17	2e-17
59639.002199	-5.2352958833e-15	1	1.7e-17	2e-17
59639.002211	-4.4153449846e-15	1	1.7e-17	2e-17
59639.002222	-6.3387380446e-15	1	1.7e-17	2e-17
59639.002234	-6.1358829038e-15	1	1.7e-17	2e-17
59639.002245	-7.8422019988e-15	1	1.7e-17	2e-17
59639.002257	-4.5107179125e-15	1	1.7e-17	2e-17
59639.002269	-2.2441605685e-15	1	1.7e-17	2e-17
59639.002280	-4.9269460881e-15	1	1.7e-17	2e-17
59639.002292	-4.3736768217e-15	1	1.7e-17	2e-17
59639.002303	-4.2002704910e-15	1	1.7e-17	2e-17
59639.002315	-4.3650935891e-15	1	1.7e-17	2e-17
59639.002326	-3.3564429426e-15	1	1.7e-17	2e-17
59639.002338	-8.4357373086e-15	1	1.7e-17	2e-17
59639.002350	-6.0821448577e-15	1	1.7e-17	2e-17
59639.002361	-7.7357284481e-15	1	1.7e-17	2e-17
59639.002373	-6.6983486269e-15	1	1.7e-17	2e-17
59639.002384	-6.0968256786e-15	1	1.7e-17	2e-17
59639.002396	-7.7378373546e-15	1	1.7e-17	2e-17
59639.002407	-3.2204004965e-15	1	1.7e-17	2e-17
59639.002419	-4.3359045152e-15	1	1.7e-17	2e-17
59639.002431	-1.9423445260e-15	1	1.7e-17	2e-17
59639.002442	-4.5703749126e-15	1	1.7e-17	2e-17
59639.002454	-5.8462787522e-15	1	1.7e-17	2e-17
59639.002465	-6.4862700437e-15	1	1.7e-17	2e-17
59639.002477	-6.7907313010e-15	1	1.7e-17	2e-17
59639.002488	-4.8264651808e-15	1	1.7e-17	2e-17
59639.002500	-1.1323543109e-15	1	1.7e-17	2e-17
59639.002512	-1.3443203633e-15	1	1.7e-17	2e-17
59639.002523	-4.1412433610e-15	1	1.7e-17	2e-17
59639.002535	-5.0878442788e-15	1	1.7e-17	2e-17
59639.002546	-3.9232721731e-15	1	1.7e-17	2e-17
59639.002558	-6.6592849994e-15	1	1.7e-17	2e-17
59639.002569	-6.5110112108e-15	1	1.7e-17	2e-17
59639.002581	-4.5077723739e-15	1	1.7e-17	2e-17
59639.002593	-4.5288027938e-15	1	1.7e-17	2e-17
59639.002604	-5.4884273618e-15	1	1.7e-17	2e-17
59639.002616	-4.5878101948e-15	1	1.7e-17	2e-17
59639.002627	-1.2266674359e-15	1	1.7e-17	2e-17
59639.002639	1.2941770800e-16	1	1.7e-17	2e-17
59639.002650	-7.3105369909e-15	1	1.7e-17	2e-17
59639.002662	-9.2741704320e-15	1	1.7e-17	2e-17
59639.002674	-3.5484724482e-15	1	1.7e-17	2e-17
59639.002685	-4.8246921865e-15	1	1.7e-17	2e-17
59639.002697	-6.8871183095e-15	1	1.7e-17	2e-17
59639.002708	-7.0182967359e-15	1	1.7e-17	2e-17
59639.002720	-2.1601864553e-15	1	1.7e-17	2e-17
59639.002731	3.7595101082e-15	1	1.7e-17	2e-17
59639.002743	1.2810112329e-15	1	1.7e-17	2e-17
59639.002755	-5.5677547384e-15	1	1.7e-17	2e-17
59639.002766	-4.8272775814e-15	1	1.7e-17	2e-17
59639.002778	-4.3983183543e-15	1	1.7e-17	2e-17
59639.002789	-5.4774086172e-15	1	1.7e-17	2e-17
59639.002801	-9.7328629809e-15	1	1.7e-17	2e-17
59639.002812	-9.5573347596e-15	1	1.7e-17	2e-17
59639.002824	-6.9408644739e-15	1	1.7e-17	2e-17
59639.002836	-7.4986799072e-15	1	1.7e-17	2e-17
59639.002847	-5.4023451031e-15	1	1.7e-17	2e-17
59639.002859	-4.9966676218e-15	1	1.7e-17	2e-17
