station,sat,N_points,A_sat,b_sat,RMS_before,RMS_after,delta_RMS,AIC_before,AIC_after,delta_AIC,R2
ANK2,G21,18,1132.2098203252372,-18.629778632410122,1.7944768747741622,0.20590396723206533,-1.588572907542097,23.049687612753278,-52.89243430541532,75.9421219181686,0.9861176110267922
ANK2,G22,15,911.0797005549479,-15.249390353841184,1.1782654437852977,0.061790733183356164,-1.1164747106019415,6.921301823851217,-79.52005622753819,86.44135805138941,0.9944119588072295
ANK2,G23,19,1117.434057370545,-18.484885084620217,1.614773794270127,0.2617346412796388,-1.3530391529904882,20.209405493090657,-46.93611610448254,67.1455215975732,0.9734568368184545
ANK2,G24,18,1370.5594700693216,-22.37162098736999,3.701106257724282,0.4280428160644309,-3.2730634416598514,49.11074348730077,-26.54715383132157,75.65789731862235,0.9835578607801445
ANK2,G25,22,1284.6230888501748,-21.21162658123372,2.2694679994212867,0.4217944229788369,-1.84767357644245,38.05999947166963,-33.982438251171196,72.04243772284082,0.964114738063944
ANK2,G26,16,1043.9746590397751,-17.29276216469085,1.4328498854548108,0.13159508993672897,-1.3012547955180818,13.509292413409003,-60.89681828154089,74.40611069494989,0.9886245905927293
ANK2,G27,11,1084.4043360200112,-18.007191263458505,1.413576381564752,0.1765957725152783,-1.2369806090494737,9.614704545342573,-34.145622444399415,43.76032698974198,0.9843606980039894
ANK2,G28,13,1033.8025842337656,-17.154844438871034,1.374289578984675,0.16735388364993348,-1.2069356953347414,10.266360122003325,-42.478760765896055,52.74512088789938,0.9836945823428257
ANK2,G29,20,1044.4197552030332,-17.346207368380153,1.3252414225602522,0.17838187977084216,-1.1468595427894102,13.263785941863706,-64.95314539144535,78.21693133330905,0.9801812083002055
ANK2,G30,14,1141.7668721467805,-18.834336313297467,1.7559041425498838,0.26579083355641786,-1.490113308993466,17.763549345538234,-33.10127734715868,50.86482669269691,0.9767249200428224
ANK2,G31,11,1088.4228152646342,-17.9870370782129,1.5579721260459785,0.20376059284585052,-1.3542115332001279,11.754471241510016,-30.997809853271782,42.7522810947818,0.98082355750058
ANK2,G32,17,1040.2501141044656,-17.271149340340088,1.3584720152835543,0.15964791297197978,-1.1988241023115744,12.416258698450447,-58.382670702554,70.79892940100444,0.9860782697193977
ANK2,Q01,6,1177.912623374496,-19.475554633592516,1.624310882337599,0.15269265446320238,-1.4716182278743966,7.8210038411592375,-18.551938067375826,26.37294190853506,0.9909544343766945
ANK2,Q02,3,949.4581460284408,-15.907469634171045,0.7474435307270938,0.03288994473123563,-0.7145535859958582,0.25342087550779047,-16.487529795169998,16.740950670677787,0.9977622403723808
ANK2,Q03,2,,,,,,,,,
ANK2,Q04,3,1255.61591398103,-20.7560572959506,2.1836594660024953,0.12167407381552921,-2.061985392186966,6.686012741393032,-8.638456011471956,15.324468752864988,0.9966687884898489
ANK2,Q05,8,1328.3583500865095,-22.090401289036393,2.27449515325266,0.2139260757764554,-2.060569077476204,15.148129873902864,-20.67399622296746,35.82212609687032,0.9893950908928518
ANK2,Q06,2,,,,,,,,,
ANK2,Q07,3,1275.6170450992377,-20.90222762476696,2.87267908366375,0.3443325092280404,-2.5283465744357096,8.33147043787873,-2.3968849512156183,10.728355389094348,0.9838448435284876
ANK2,Q08,2,,,,,,,,,
ANK2,Q09,3,1197.5253986654595,-20.06431446388965,0.9993666687246697,0.0008949140383529516,-0.9984717546863168,1.996198808514195,-38.112697345011185,40.10889615352538,0.9999990595898044
ANK2,Q10,4,1075.5653209719924,-17.901131640472137,1.2636822261512346,0.059735192267836315,-1.2039470338833982,3.8722388860494243,-18.542671576306844,22.414910462356268,0.9977225601428036
ANK2,Q11,2,,,,,,,,,
ANK2,Q12,3,1573.019865671439,-26.57034918918506,3.3855293185283695,0.22944496938303338,-3.156084349145336,9.317061595610728,-4.8325523783473905,14.149613973958118,0.9905323726757396
ANK2,Q13,3,1461.4466523312653,-23.522818005172805,4.410562359616914,0.11561779061370026,-4.2949445690032135,10.904013203098298,-8.944792619255356,19.848805822353654,0.9992293304553285
ANK2,Q14,6,1076.333367997414,-17.773016221286664,1.732646128289726,0.17732082960851614,-1.5553252986812098,8.595797526298746,-16.757535086251316,25.353332612550062,0.9893924941951189
ANK2,Q15,6,1167.2778553521005,-19.24774118839683,2.1150059512576043,0.2649523722622097,-1.8500535789953947,10.988691515931983,-11.93846235753464,22.927153873466622,0.9830220964657381
ANK2,Q16,3,1113.719809062522,-18.330469508141746,1.8860938918619023,0.12647939656114307,-1.7596144953007593,5.807047799408133,-8.406055142685544,14.213102942093677,0.9955026789754556
ANK2,Q17,2,,,,,,,,,
ANK2,Q18,2,,,,,,,,,
ANK2,Q19,3,1587.39327755276,-26.269223612715006,4.114134094036931,0.007966957609955283,-4.106167136426976,10.486570311582371,-24.994715535809327,35.481285847391696,0.9999951821045696
ANK2,Q20,2,,,,,,,,,
ANK2,Q21,2,,,,,,,,,
ANK2,Q22,3,1053.3119566355765,-17.394337239412543,1.6331863309215553,0.12765560756793798,-1.5055307233536173,4.943197465528979,-8.350515242095785,13.293712707624763,0.9937847675958643
ANK2,Q23,5,958.6292568577873,-15.984024253052887,1.2659334496648504,0.06610227695798165,-1.199831172706869,4.358097549349385,-23.165520855471108,27.523618404820493,0.9947303007059737
ANK2,Q24,2,,,,,,,,,
ANK2,Q25,3,1243.9801505104344,-20.15727823499579,2.938562332546772,0.04574405686926668,-2.8928182756775054,8.467522755288485,-14.50816040117498,22.975683156463464,0.9997520061752425
ANK2,Q26,2,,,,,,,,,
ANK2,Q27,2,,,,,,,,,
ANK2,Q28,4,927.3427339472348,-15.462331716297562,1.30023502500856,0.08463514574851538,-1.2155998792600444,4.100360292762787,-15.755245314074521,19.855605606837308,0.9933608918594743
ANK2,Q29,2,,,,,,,,,
ANK2,Q30,3,1203.144792165659,-19.869482184816846,2.376160186807018,0.2556978712882437,-2.120462315518774,7.192914907506099,-4.182552330535096,11.375467238041194,0.984725889643061
ANK2,Q31,2,,,,,,,,,
ANK2,Q32,6,1487.7388483113805,-24.74744115432748,2.3834057792301357,0.18368141833982757,-2.199724360890308,12.422365573467296,-16.33462932899488,28.756994902462175,0.9936487575692885
