station,sat,N_points,A_sat,b_sat,RMS_before,RMS_after,delta_RMS,AIC_before,AIC_after,delta_AIC,R2,source_file
ALIC,G23,15,1399.77072340523,-23.559428167648854,2.79299717990576,0.3803242741001381,-2.4126729058056218,32.813458317852906,-25.00193111795538,57.815389435808285,0.9791916275658112,phase31_ALIC_summary.csv
ALIC,G24,21,1342.9369265678215,-22.504070642586807,2.48321601928397,0.4224613903222913,-2.0607546289616785,40.2012890861293,-32.18960324895574,72.39089233508504,0.9708653311254524,phase31_ALIC_summary.csv
ALIC,G25,29,1341.6745813627888,-22.557826327230792,1.9315131025646572,0.3971296403021744,-1.534383462262483,40.18161382990794,-49.56256509983086,89.74417892973881,0.9560044057215452,phase31_ALIC_summary.csv
ALIC,G26,21,1145.575616146479,-19.3862543453538,1.4356417433662534,0.1646596689674348,-1.2709820743988185,17.187702200915695,-71.76273099560868,88.95043319652437,0.9830135279972356,phase31_ALIC_summary.csv
ALIC,G27,23,1268.1640232613822,-21.404240107351253,1.9902651919602123,0.3217925585047221,-1.6684726334554902,33.66032303886939,-48.15701578725341,81.8173388261228,0.9732511680397886,phase31_ALIC_summary.csv
ALIC,G28,21,1206.6788995549875,-20.294719647600964,1.9222289464787552,0.2042710490697778,-1.7179578974089773,29.446387737840418,-62.70891479548861,92.15530253332903,0.9886379594547048,phase31_ALIC_summary.csv
ALIC,G29,18,957.987113054554,-16.41034457123425,1.0385677372489066,0.0532221770837363,-0.9853455601651704,3.36233317710924,-101.59808385276732,104.96041702987657,0.993941873793034,phase31_ALIC_summary.csv
ALIC,G30,23,1266.8353039883837,-21.30303176688059,2.055863851196478,0.3276172949125147,-1.7282465562839635,35.152021757593964,-47.33182023867954,82.4838419962735,0.9746002979199806,phase31_ALIC_summary.csv
ALIC,G31,15,1307.212566546145,-21.95575920071941,2.240973932815377,0.3383594750314236,-1.9026144577839528,26.20731688423933,-28.509392391695016,54.71670927593435,0.9771507753182668,phase31_ALIC_summary.csv
ALIC,G32,19,1073.3560374671215,-18.22496692851791,1.2998558640684097,0.1270747036055059,-1.1727811604629037,11.965628612026247,-74.39324562739648,86.35887423942273,0.9886473974290236,phase31_ALIC_summary.csv
ANK2,G01,15,836.3969071014488,-14.118591123436548,1.2317144796517352,0.0269394351057756,-1.2047750445459595,8.252212541686799,-104.4249223047492,112.677134846436,0.9962857584484448,phase31_ANK2_summary.csv
ANK2,G02,18,1281.4816472370394,-21.22749888491264,2.374361651946043,0.3668001513209077,-2.007561500625135,33.13023043632708,-32.105772538035566,65.23600297436265,0.9718526048509656,phase31_ANK2_summary.csv
ANK2,G03,17,1243.8988770031865,-20.414911842402727,2.213519649868738,0.3092017547685234,-1.9043178951002149,29.015850914787578,-35.907883761253814,64.92373467604139,0.9804872546765028,phase31_ANK2_summary.csv
ANK2,G04,17,1194.0590543081391,-19.663647283627657,2.0904367586433774,0.2627922407039078,-1.8276445179394696,27.07068266544289,-41.43731162177059,68.50799428721348,0.983995255369032,phase31_ANK2_summary.csv
