time_utc,station,TROTOT_m,TRODRY_m,TROWET_m,TEMDRY_K,PRESS_hPa,source_file
2025-10-31T18:00:00+00:00,AJAC,2.4774000000000003,2.3036,0.1738,289.1,1011.4,TRO.txt
2025-10-31T19:00:00+00:00,AJAC,2.4774000000000003,2.3036,0.1738,289.1,1011.4,ESA0OPSRAP_20253040000_01D_01H_TRO.TRO.txt
2025-10-31T19:00:00+00:00,AJAC,2.4774000000000003,2.3036,0.1738,289.1,1011.4,TRO.txt
2025-10-31T20:00:00+00:00,AJAC,2.4726999999999997,2.3036,0.1691,289.1,1011.4,ESA0OPSRAP_20253040000_01D_01H_TRO.TRO.txt
2025-10-31T20:00:00+00:00,AJAC,2.4726999999999997,2.3036,0.1691,289.1,1011.4,TRO.txt
2025-10-31T21:00:00+00:00,AJAC,2.4739,2.3036,0.1703,289.1,1011.5,ESA0OPSRAP_20253040000_01D_01H_TRO.TRO.txt
2025-10-31T21:00:00+00:00,AJAC,2.4739,2.3036,0.1703,289.1,1011.5,TRO.txt
2025-10-31T22:00:00+00:00,AJAC,2.4757,2.3036,0.1721,289.1,1011.5,ESA0OPSRAP_20253040000_01D_01H_TRO.TRO.txt
2025-10-31T22:00:00+00:00,AJAC,2.4757,2.3036,0.1721,289.1,1011.5,TRO.txt
2025-10-31T23:00:00+00:00,AJAC,2.4682,2.3036,0.1646,289.1,1011.5,ESA0OPSRAP_20253040000_01D_01H_TRO.TRO.txt
2025-10-31T23:00:00+00:00,AJAC,2.4682,2.3036,0.1646,289.1,1011.5,TRO.txt
2025-11-01T00:00:00+00:00,AJAC,2.4683,2.3036,0.16469999999999999,289.1,1011.5,ESA0OPSRAP_20253040000_01D_01H_TRO.TRO.txt
2025-11-01T00:00:00+00:00,AJAC,2.4683,2.3036,0.16469999999999999,289.1,1011.5,TRO.txt
