station,sat,N_points,A_sat,b_sat,RMS_before,RMS_after,delta_RMS,AIC_before,AIC_after,delta_AIC,R2
AJAC,G14,5,1104.084009582207,-18.773269913741736,1.5466321478641702,0.08309621996105587,-1.4635359279031144,6.360797591297304,-20.877560659886,27.238358251183307,0.9968749182570772
AJAC,G15,10,1238.9041210324501,-20.93637286094965,2.031213516596023,0.20282253838856326,-1.8283909782074597,16.172668117483788,-27.90847754803961,44.081145665523394,0.9900212390183616
AJAC,G16,10,1477.0647955323393,-24.965009049292284,2.4092920207615904,0.3915238811384095,-2.017768139623181,19.586658740513005,-14.754175326704999,34.340834067218005,0.9735728621658574
AJAC,G17,6,1147.875639337606,-19.63039148851764,1.1182350597732011,0.0776323424369118,-1.0406027173362893,3.3410192345334604,-26.669253855709517,30.010273090242976,0.9940161134200285
AJAC,G18,8,1338.3472471820037,-22.655675558432712,2.1012393414156008,0.3096307711005587,-1.791608570315042,13.880437331692578,-14.757996037531587,28.638433369224167,0.9782819497391799
AJAC,G19,4,1365.7395355973113,-23.04970019183776,2.6461640535563133,0.32301187663965786,-2.3231521769166554,9.784888514871863,-5.040529493226,14.825418008097863,0.9842144890733937
AJAC,G20,8,1471.1071823972795,-24.75391190876813,2.674750727038903,0.4001241010560199,-2.274626625982883,17.74169903763503,-10.655688437640054,28.39738747527508,0.97759924043023
AJAC,G21,8,1295.31679417048,-21.905187343711326,1.9055497851792171,0.25064156491346873,-1.6549082202657484,12.316329089364976,-18.139702219001805,30.456031308366782,0.9820093832663697
AJAC,G22,6,1229.6710843774824,-20.870091699589363,1.8914457579311181,0.139235749784612,-1.7522100081465062,9.64809785518088,-19.6590408906791,29.30713874585998,0.9943766052997958
AJAC,G23,8,1620.7904296270585,-27.107879507225388,3.2265364195992476,0.45690117750732057,-2.769635242091927,20.742547935663595,-8.532610451997579,29.275158387661172,0.979934208770751
AJAC,G24,6,1576.625275243657,-26.70029116463189,4.517346222743936,0.34948301133352483,-4.1678632114104115,20.0950964307249,-8.61560392372966,28.71070035445456,0.9897876805966883
AJAC,G25,6,839.2128094859152,-14.651084646910721,1.4769925800440504,0.005756568324647995,-1.4712360117194023,6.68009575843719,-57.88896510548952,64.56906086392671,0.999215736549879
AJAC,G26,7,1044.5736097296829,-17.964518237410548,0.8107748340109764,0.029003238065338388,-0.7817715959456379,-0.9367086469415895,-45.564869169247984,44.628160522306395,0.9975077572575385
AJAC,G27,10,1444.3174110444168,-24.640613892071944,2.3341143599386185,0.33239953814951334,-2.001714821789105,18.952650601340757,-18.02835210887413,36.98100271021489,0.9765718796771466
AJAC,G28,7,1350.07426061402,-22.701381544340588,2.3568708662852167,0.2855865948855699,-2.0712842713996467,14.00268769185443,-13.544939808108204,27.547627499962633,0.9852135265831837
AJAC,G29,9,1264.9266843496705,-21.335746052650975,1.8177745365463651,0.14619383282634196,-1.6715807037200232,12.757033473738975,-30.610794482357868,43.367827956096846,0.9916682652400081
AJAC,G30,11,1196.7858038182846,-20.341513851872605,1.669109640523709,0.17980999031574268,-1.4892996502079663,13.270387367073843,-33.74880108993119,47.019188457005036,0.9883839591555181
AJAC,G31,6,1252.5621982053956,-21.217607836909085,1.7907861163195669,0.20133895121453252,-1.5894471651050344,8.991856334881982,-15.23318560065541,24.22504193553739,0.9867996960431578
AJAC,G32,9,1082.7464020602313,-18.52839754655333,1.1678356428195813,0.07353848593879743,-1.0942971568807838,4.7927388393280195,-42.97903504859474,47.771773887922755,0.9947143462861446
