col0_x,col1_x,col2_x,col3_x,col4_x,col5_x,col6_x,col7_x,col8_x,col9_x,col10_x,col11_x,col12_x,col13_x,col14_x,col15_x,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col40,col41,col42,col43,col44,col45,col46,col47,col48,col49,col50,col51,col52,col53,col54,col55,col56,col57,col58,col59,col60,col61,col62,col63,col64,col65,col66,col67,col68,col69,col70,col71,col72,col73,col74,col75,col76,col77,col78,col79,col80,col81,col82,col83,col84,col85,col86,col87,col88,col89,col90,col91,col92,col93,col94,col95,col96,col97,col98,time,col0_y,col1_y,col2_y,col3_y,col4_y,col5_y,col6_y,col7_y,col8_y,col9_y,col10_y,col11_y,col12_y,col13_y,col14_y,col15_y,X,Y,Z,L
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,1620,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-1294736.8421052631,-863157.894736842,-431578.947368421,1614820.5563971747
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,1680,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-1231578.9473684211,-821052.6315789472,-410526.3157894736,1536048.8219387757
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,1740,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-1168421.0526315789,-778947.3684210526,-389473.6842105263,1457277.0874803772
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,1800,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-1105263.1578947369,-736842.1052631577,-368421.0526315789,1378505.3530219784
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,1860,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-1042105.2631578946,-694736.8421052631,-347368.4210526316,1299733.6185635796
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,1920,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-978947.3684210526,-652631.5789473683,-326315.78947368416,1220961.8841051809
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,1980,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-915789.4736842106,-610526.3157894735,-305263.15789473674,1142190.1496467819
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,2040,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-852631.5789473685,-568421.0526315789,-284210.52631578944,1063418.4151883833
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,2100,999.9,999.9,999.9,999.9,999.9,999.9,-33.3,11.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-789473.6842105263,-526315.789473684,-263157.894736842,984646.6807299844
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,2160,999.9,999.9,999.9,999.9,999.9,999.9,-20.1,5.9,41.2,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-726315.789473684,-484210.52631578944,-242105.26315789472,905874.9462715856
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,2220,999.9,999.9,999.9,999.9,999.9,-40.4,-18.0,2.9,24.5,999.9,999.9,999.9,999.9,999.9,999.9,999.9,-663157.8947368423,-442105.2631578946,-221052.6315789473,827103.211813187
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,2280,999.9,999.9,999.9,999.9,999.9,-31.8,-14.7,1.8,22.1,40.9,999.9,999.9,999.9,999.9,999.9,999.9,-600000.0,-399999.99999999977,-199999.99999999988,748331.4773547881
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,2340,999.9,999.9,999.9,999.9,999.9,-27.8,-12.0,0.8,16.5,33.4,999.9,999.9,999.9,999.9,999.9,999.9,-536842.1052631577,-357894.73684210517,-178947.36842105258,669559.7428963893
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,2400,999.9,999.9,999.9,999.9,-39.1,-25.3,-12.4,0.2,15.2,28.8,43.7,999.9,999.9,999.9,999.9,999.9,-473684.2105263155,-315789.47368421033,-157894.73684210517,590788.0084379903
,0,14.9,0.1,0.4,0.8,1.1,1.4,1.8,2.1,2.5,2.8,3.1,3.5,3.8,4.1,4.5,4.8,5.1,5.5,5.0,6.4,7.1,7.8,8.5,9.2,9.9,10.6,11.3,12.0,13.4,14.1,15.5,17.0,18.4,19.8,21.2,22.6,24.7,26.8,29.0,31.1,33.9,36.7,39.5,43.1,46.6,50.1,54.4,58.6,63.5,69.2,74.8,80.5,87.5,94.6,102.4,110.8,120.0,129.2,140.5,151.8,163.8,177.2,192.0,207.5,225.2,243.5,263.3,284.5,308.5,333.2,360.7,390.4,422.1,456.7,494.1,535.1,578.8,626.1,677.7,733.4,793.4,858.4,929.0,1005.2,1087.8,1176.7,1273.5,1377.2,1490.2,1613.0,1745.0,1888.3,2042.9,2210.2,2391.6,2587.8,2799.6,2460,999.9,999.9,999.9,999.9,-35.7,-22.8,-10.5,1.4,11.9,24.6,38.3,999.9,999.9,999.9,999.9,999.9,-410526.3157894737,-273684.2105263157,-136842.10526315786,512016.2739795919
