time_utc,et,L_km,L_m,L_AU
1979-03-05 10:00:00,-657251949.8145592,384995.3080185394,384995308.01853937,0.002573534678114502
1979-03-05 10:01:00,-657251889.8145592,384452.15669393365,384452156.69393367,0.0025699039357645996
1979-03-05 10:02:00,-657251829.8145592,383912.4132179025,383912413.2179025,0.0025662959734753933
1979-03-05 10:03:00,-657251769.8145592,383376.09633370314,383376096.33370316,0.0025627109165378193
1979-03-05 10:04:00,-657251709.8145592,382843.2247797681,382843224.7797681,0.0025591488902105618
1979-03-05 10:05:00,-657251649.8145592,382313.817292986,382313817.292986,0.0025556100197419857
1979-03-05 10:06:00,-657251589.8145592,381787.8926038953,381787892.6038953,0.002552094430338007
1979-03-05 10:07:00,-657251529.8145592,381265.4694319323,381265469.43193233,0.0025486022471303284
1979-03-05 10:08:00,-657251469.8145592,380746.5664866548,380746566.4866548,0.0025451335951846192
1979-03-05 10:09:00,-657251409.8145592,380231.2024671599,380231202.46715987,0.002541688599496623
1979-03-05 10:10:00,-657251349.8145592,379719.3960576014,379719396.0576014,0.002538267384962194
1979-03-05 10:11:00,-657251289.8145592,379211.1659230028,379211165.92300284,0.002534870076349308
1979-03-05 10:12:00,-657251229.8145592,378706.5307112229,378706530.7112229,0.0025314967983112004
1979-03-05 10:13:00,-657251169.8145592,378205.5090445546,378205509.0445546,0.002528147675330212
1979-03-05 10:14:00,-657251109.8145592,377708.1195282335,377708119.52823347,0.0025248228317746603
1979-03-05 10:15:00,-657251049.8145592,377214.3807391983,377214380.7391983,0.0025215223918237115
1979-03-05 10:16:00,-657250989.8145592,376724.31122142327,376724311.22142327,0.002518246479436176
1979-03-05 10:17:00,-657250929.8145592,376237.92949253035,376237929.49253035,0.002514995218394712
1979-03-05 10:18:00,-657250869.8145592,375755.2540376909,375755254.0376909,0.002511768732265057
1979-03-05 10:19:00,-657250809.8145592,375276.3033041022,375276303.30410224,0.002508567144359109
1979-03-05 10:20:00,-657250749.8145592,374801.095702934,374801095.702934,0.002505390577747936
1979-03-05 10:21:00,-657250689.8145592,374329.64960332133,374329649.6033213,0.0025022391552216214
