time_utc,et,L_km,L_m,L_AU,dt_res,v_km_s
1979-03-05 09:19:00,-657254409.8145592,409969.3032730658,409969303.2730658,0.0027404755251845,1.890104491283385,-11.159879067054135
1979-03-05 09:20:00,-657254349.8145592,409302.35199884296,409302351.99884295,0.0027360172312856,1.8897781453474394,-11.11585457038018
1979-03-05 09:21:00,-657254289.8145592,408638.0595667736,408638059.5667736,0.0027315767106488,1.889452696154702,-11.071540534489516
1979-03-05 09:22:00,-657254229.8145592,407976.4433996262,407976443.3996262,0.002727154079738,1.889128155947471,-11.026936119123517
1979-03-05 09:23:00,-657254169.8145592,407317.5209851146,407317520.9851146,0.0027227494554514,1.8888045370454316,-10.98204024185931
1979-03-05 09:24:00,-657254109.8145592,406661.30986173137,406661309.86173135,0.0027183629550265,1.8884818518386477,-10.936852056387579
1979-03-05 09:25:00,-657254049.8145592,406007.82762642,406007827.62642,0.0027139946960917,1.8881601127912557,-10.891370588522598
1979-03-05 09:26:00,-657253989.8145592,405357.0919247437,405357091.9247437,0.0027096447966003,1.8878393324365403,-10.845595027938058
1979-03-05 09:27:00,-657253929.8145592,404709.1204608792,404709120.4608792,0.0027053133748973,1.8875195233817579,-10.799524397742546
1979-03-05 09:28:00,-657253869.8145592,404063.9309918947,404063930.99189466,0.0027010005496815,1.8872006983052136,-10.753157816408201
1979-03-05 09:29:00,-657253809.8145592,403421.5413254636,403421541.3254636,0.0026967064399898,1.8868828699550098,-10.70649444051766
1979-03-05 09:30:00,-657253749.8145592,402781.969317182,402781969.31718194,0.0026924311651795,1.8865660511475817,-10.659533471359948
1979-03-05 09:31:00,-657253689.8145592,402145.2328692628,402145232.8692628,0.0026881748449195,1.8862502547668938,-10.612274131986972
1979-03-05 09:32:00,-657253629.8145592,401511.3499425265,401511349.94252646,0.0026839375992704,1.8859354937702293,-10.5647154456053
1979-03-05 09:33:00,-657253569.8145592,400880.33853415895,400880338.53415895,0.002679719548536,1.885621781176984,-10.516856806125725
1979-03-05 09:34:00,-657253509.8145592,400252.2166920645,400252216.6920645,0.0026755208133591,1.8853091300755926,-10.46869736824107
1979-03-05 09:35:00,-657253449.8145592,399627.00250658125,399627002.5065813,0.0026713415146662,1.884997553619215,-10.420236424720496
1979-03-05 09:36:00,-657253389.8145592,399004.71411327546,399004714.11327547,0.002667181773686,1.8846870650269039,-10.371473221763154
1979-03-05 09:37:00,-657253329.8145592,398385.3696907205,398385369.6907205,0.0026630417119347,1.8843776775822727,-10.322407042582443
1979-03-05 09:38:00,-657253269.8145592,397768.9874521935,397768987.4521935,0.0026589214511606,1.8840694046290976,-10.273037308783387
1979-03-05 09:39:00,-657253209.8145592,397155.58565890463,397155585.6589046,0.0026548211134324,1.8837622595776666,-10.223363221481366
1979-03-05 09:40:00,-657253149.8145592,396545.1826045967,396545182.6045967,0.0026507408210362,1.883456255896806,-10.173384238465223
1979-03-05 09:41:00,-657253089.8145592,395937.79662010033,395937796.6201003,0.002646680696506,1.8831514071158602,-10.123099741606469
1979-03-05 09:42:00,-657253029.8145592,395333.44607432216,395333446.07432216,0.0026426408626304,1.8828477268248855,-10.072509096302868
1979-03-05 09:43:00,-657252969.8145592,394732.1493698888,394732149.3698888,0.0026386214424233,1.882545228672143,-10.021611740555576
