time_utc,et,L_km,L_m,L_AU,dt_tfgr,dt_res,time_diff_s,v_km_s
2019-01-01 04:22:00,599588589.1839195,61917.68885448572,61917688.85448572,0.0004138941855573,1.5837860928147733,0.5837860928147733,60.0,-14.411826728495361
2019-01-01 04:23:00,599588649.1839195,61053.01878827294,61053018.78827294,0.0004081142231677,1.5819729271885954,0.5819729271885954,60.0,-14.41116777021307
2019-01-01 04:24:00,599588709.1839195,60188.38996704874,60188389.967048734,0.0004023345364838,1.5801399602657826,0.5801399602657826,60.0,-14.410480353736663
2019-01-01 04:25:00,599588769.1839195,59323.80419118387,59323804.19118387,0.0003965551375403,1.5782866891081562,0.5782866891081562,60.0,-14.409762931081058
2019-01-01 04:26:00,599588829.1839195,58459.2633733152,58459263.3733152,0.0003907760391225,1.5764125906116464,0.5764125906116464,60.0,-14.409013631144505
2019-01-01 04:27:00,599588889.1839195,57594.7695380112,57594769.5380112,0.0003849972547638,1.5745171203767079,0.5745171203767079,60.0,-14.408230588400086
2019-01-01 04:28:00,599588949.1839195,56730.32482959518,56730324.82959518,0.000379218798798,1.5725997115158425,0.5725997115158425,60.0,-14.40741180693367
2019-01-01 04:29:00,599589009.1839195,55865.93153285009,55865931.53285009,0.000373440686498,1.570659773403282,0.5706597734032819,60.0,-14.406554945751486
2019-01-01 04:30:00,599589069.1839195,55001.59206748673,55001592.06748673,0.0003676629340385,1.5686966902721258,0.5686966902721258,60.0,-14.405657756055977
2019-01-01 04:31:00,599589129.1839195,54137.3090163893,54137309.0163893,0.0003618855586852,1.566709819784218,0.566709819784218,60.0,-14.404717518290514
2019-01-01 04:32:00,599589189.1839195,53273.08512111224,53273085.12111224,0.000356108578764,1.5646984914140445,0.5646984914140445,60.0,-14.403731587950945
2019-01-01 04:33:00,599589249.1839195,52408.923310588114,52408923.310588114,0.0003503320138539,1.5626620047860682,0.5626620047860682,60.0,-14.402696842068812
2019-01-01 04:34:00,599589309.1839195,51544.82670778479,51544826.7077848,0.0003445558848304,1.5605996278279044,0.5605996278279044,60.0,-14.401610046722029
2019-01-01 04:35:00,599589369.1839195,50680.79864496944,50680798.64496944,0.0003387802139684,1.5585105947964193,0.5585105947964193,60.0,-14.400467713589144
2019-01-01 04:36:00,599589429.1839195,49816.84269290037,49816842.69290037,0.000333005025137,1.556394104177247,0.5563941041772471,60.0,-14.39926586781791
2019-01-01 04:37:00,599589489.1839195,48952.96266738329,48952962.66738329,0.0003272303438432,1.554249316353498,0.5542493163534981,60.0,-14.398000425284652
2019-01-01 04:38:00,599589549.1839195,48089.16266061945,48089162.660619445,0.0003214561974418,1.5520753511406469,0.5520753511406469,60.0,-14.396666779397371
2019-01-01 04:39:00,599589609.1839195,47225.4470604779,47225447.0604779,0.0003156826152638,1.549871285078653,0.5498712850786529,60.0,-14.39526000235916
2019-01-01 04:40:00,599589669.1839195,46361.820589359806,46361820.589359805,0.0003099096288765,1.5476361485384285,0.5476361485384285,60.0,-14.393774518634867
2019-01-01 04:41:00,599589729.1839195,45498.28831897149,45498288.31897149,0.0003041372721822,1.5453689225069138,0.5453689225069138,60.0,-14.392204506471899
2019-01-01 04:42:00,599589789.1839195,44634.85572011118,44634855.720111184,0.0002983655817509,1.5430685351745939,0.5430685351745939,60.0,-14.390543314338478
2019-01-01 04:43:00,599589849.1839195,43771.528686851445,43771528.68685144,0.0002925945969821,1.5407338581377266,0.5407338581377266,60.0,-14.388783887662308
2019-01-01 04:44:00,599589909.1839195,42908.313594781685,42908313.59478168,0.0002868243604939,1.5383637023370074,0.5383637023370074,60.0,-14.386918201162674
2019-01-01 04:45:00,599589969.1839195,42045.21733811123,42045217.33811123,0.0002810549183713,1.5359568135464357,0.5359568135464357,60.0,-14.384937611174246
2019-01-01 04:46:00,599590029.1839195,41182.24738643655,41182247.38643655,0.0002752863205454,1.5335118674761075,0.5335118674761075,60.0,-14.382832527911281
2019-01-01 04:47:00,599590089.1839195,40319.41185223659,40319411.85223659,0.0002695186212448,1.5310274644161033,0.5310274644161033,60.0,-14.380592236666052
2019-01-01 04:48:00,599590149.1839195,39456.719551317794,39456719.5513178,0.0002637518793996,1.528502123312307,0.5285021233123071,60.0,-14.378205015313263
2019-01-01 04:49:00,599590209.1839195,38594.180092719536,38594180.09271954,0.0002579861592423,1.525934275312485,0.5259342753124849,60.0,-14.375657643304294
2019-01-01 04:50:00,599590269.1839195,37731.803952841874,37731803.95284187,0.0002522215308031,1.5233222565758127,0.5233222565758127,60.0,-14.372935664627706
2019-01-01 04:51:00,599590329.1839195,36869.60259434576,36869602.59434576,0.0002464580707053,1.520664300437752,0.520664300437752,60.0,-14.370022641601947
2019-01-01 04:52:00,599590389.1839195,36007.588575700014,36007588.575700015,0.000240695862897,1.5179585286714012,0.5179585286714012,60.0,-14.366900310762382
2019-01-01 04:53:00,599590449.1839195,35145.775676387566,35145775.67638756,0.0002349349994885,1.5152029418021051,0.5152029418021051,60.0,-14.363548321874138
2019-01-01 04:54:00,599590509.1839195,34284.17906775501,34284179.067755006,0.0002291755818938,1.5123954084404507,0.5123954084404507,60.0,-14.359943477209283
2019-01-01 04:55:00,599590569.1839195,33422.81547172629,33422815.471726287,0.0002234177218922,1.5095336532975014,0.5095336532975014,60.0,-14.356059933812018
2019-01-01 04:56:00,599590629.1839195,32561.70338496049,32561703.38496049,0.0002176615431262,1.506615243953553,0.506615243953553,60.0,-14.35186811276332
2019-01-01 04:57:00,599590689.1839195,31700.863301851336,31700863.301851336,0.0002119071825923,1.5036375759576264,0.5036375759576264,60.0,-14.347334718485884
2019-01-01 04:58:00,599590749.1839195,30840.317999005903,30840317.999005903,0.0002061547925428,1.5005978562221216,0.5005978562221216,60.0,-14.342421714090536
2019-01-01 04:59:00,599590809.1839195,29980.092860429064,29980092.860429063,0.0002004045426592,1.4974930843637484,0.4974930843637484,60.0,-14.337085642947326
2019-01-01 05:00:00,599590869.1839195,29120.216258355005,29120216.258355007,0.0001946566225982,1.4943200317093477,0.4943200317093477,60.0,-14.33127670123431
2019-01-01 05:01:00,599590929.1839195,28260.72001073268,28260720.01073268,0.0001889112450497,1.491075217652632,0.49107521765263207,60.0,-14.324937460372105
2019-01-01 05:02:00,599590989.1839195,27401.63990594756,27401639.90594756,0.0001831686492443,1.487754882864805,0.48775488286480506,60.0,-14.318001746418668
2019-01-01 05:03:00,599591049.1839195,26543.016351934137,26543016.35193413,0.0001774291052922,1.4843549590261533,0.48435495902615333,60.0,-14.310392566890368
2019-01-01 05:04:00,599591109.1839195,25684.89513265604,25684895.13265604,0.0001716929192405,1.4808710343675637,0.48087103436756373,60.0,-14.302020321301644
2019-01-01 05:05:00,599591169.1839195,24827.328337448933,24827328.33744893,0.0001659604392848,1.477298314503627,0.4772983145036269,60.0,-14.292779920118422
2019-01-01 05:06:00,599591229.1839195,23970.37547082433,23970375.470824327,0.0001602320631882,1.4736315776682076,0.4736315776682076,60.0,-14.282547777076736
2019-01-01 05:07:00,599591289.1839195,23114.104819154087,23114104.819154087,0.0001545082474168,1.4698651235626046,0.46986512356260457,60.0,-14.271177527837365
2019-01-01 05:08:00,599591349.1839195,22258.5951102952,22258595.1102952,0.000148789518234,1.4659927146486116,0.4659927146486116,60.0,-14.258495147648137
2019-01-01 05:09:00,599591409.1839195,21403.93759452574,21403937.594525743,0.0001430764856102,1.4620075088648048,0.4620075088648048,60.0,-14.244291929490949
2019-01-01 05:10:00,599591469.1839195,20550.23859355429,20550238.593554296,0.000137369860262,1.4579019820816623,0.45790198208166233,60.0,-14.2283166828575
2019-01-01 05:11:00,599591529.1839195,19697.62273635888,19697622.73635888,0.0001316704752827,1.4536678390333317,0.45366783903333174,60.0,-14.210264286590185
2019-01-01 05:12:00,599591589.1839195,18846.237027403247,18846237.027403247,0.0001259793133365,1.449295910738402,0.449295910738402,60.0,-14.18976181592722
2019-01-01 05:13:00,599591649.1839195,17996.256061713215,17996256.061713215,0.0001202975415191,1.4447760367823783,0.4447760367823783,60.0,-14.166349428167207
2019-01-01 05:14:00,599591709.1839195,17147.88872740385,17147888.72740385,0.0001146265561612,1.4400969305295948,0.44009693052959475,60.0,-14.139455571822753
2019-01-01 05:15:00,599591769.1839195,16301.386960106349,16301386.960106349,0.0001089680413486,1.4352460261066824,0.4352460261066824,60.0,-14.108362788291682
2019-01-01 05:16:00,599591829.1839195,15457.057264872114,15457057.264872111,0.0001033240459409,1.4302093066761863,0.4302093066761863,60.0,-14.072161587237254
2019-01-01 05:17:00,599591889.1839195,14615.276091540314,14615276.091540314,9.769708634990829e-05,1.4249711159577056,0.42497111595770565,60.0,-14.029686222196657
2019-01-01 05:18:00,599591949.1839195,13776.510611768204,13776510.611768205,9.209028542522032e-05,1.4195139591930532,0.41951395919305323,60.0,-13.979424662868496
2019-01-01 05:19:00,599592009.1839195,12941.347203063962,12941347.203063965,8.650756285840614e-05,1.4138183082257856,0.4138183082257856,60.0,-13.919390145070702
2019-01-01 05:20:00,599592069.1839195,12110.531106235652,12110531.106235651,8.095390027657427e-05,1.4078624413022356,0.4078624413022356,60.0,-13.8469349471385
2019-01-01 05:21:00,599592129.1839195,11285.0225221095,11285022.5221095,7.543571622580254e-05,1.401622377939179,0.401622377939179,60.0,-13.758476402102527
2019-01-01 05:22:00,599592189.1839195,10466.077408906329,10466077.408906328,6.996140626823993e-05,1.3950720261231218,0.39507202612312176,60.0,-13.649085220052863
