time_utc,et,L_km,L_m,L_AU,dt_res,v_km_s
1986-01-24 03:20:00,-439807144.8154153,2677044255.4290533,2677044255429.053,17.89493555558377,8.193841146132804,25.294016909599303
1986-01-24 03:21:00,-439807084.8154153,2677045773.088576,2677045773088.576,17.89494570051107,8.193842172111937,25.294325375556944
1986-01-24 03:22:00,-439807024.8154153,2677047290.766639,2677047290766.639,17.894955845562308,8.193843198103178,25.29463438987732
1986-01-24 03:23:00,-439806964.8154153,2677048808.463277,2677048808463.277,17.89496599073771,8.193844224106545,25.294943960507712
1986-01-24 03:24:00,-439806904.8154153,2677050326.17852,2677050326178.5195,17.894976136037474,8.193845250122061,25.295254055658976
1986-01-24 03:25:00,-439806844.8154153,2677051843.9124026,2677051843912.403,17.894986281461843,8.19384627614975,25.29556470712026
1986-01-24 03:26:00,-439806784.8154153,2677053361.664957,2677053361664.957,17.894996427011026,8.193847302189635,25.295875906944275
1986-01-24 03:27:00,-439806724.8154153,2677054879.436217,2677054879436.217,17.895006572685244,8.193848328241735,25.296187663078307
1986-01-24 03:28:00,-439806664.8154153,2677056397.226214,2677056397226.214,17.89501671848471,8.193849354306074,25.296499951680502
1986-01-24 03:29:00,-439806604.8154153,2677057915.034983,2677057915034.9834,17.895026864409665,8.193850380382674,25.29681282043457
1986-01-24 03:30:00,-439806544.8154153,2677059432.862557,2677059432862.557,17.895037010460317,8.193851406471559,25.297126229604086
1986-01-24 03:31:00,-439806484.8154153,2677060950.708969,2677060950708.969,17.8950471566369,8.19385243257275,25.297440203030906
1986-01-24 03:32:00,-439806424.8154153,2677062468.574251,2677062468574.251,17.895057302939616,8.193853458686272,25.297754700978597
1986-01-24 03:33:00,-439806364.8154153,2677063986.45844,2677063986458.44,17.895067449368717,8.193854484812144,25.29806981086731
1986-01-24 03:34:00,-439806304.8154153,2677065504.361566,2677065504361.566,17.895077595924406,8.193855510950389,25.29838543732961
1986-01-24 03:35:00,-439806244.8154153,2677067022.2836647,2677067022283.665,17.89508774260692,8.193856537101032,25.298701643943787
1986-01-24 03:36:00,-439806184.8154153,2677068540.224769,2677068540224.769,17.89509788941648,8.193857563264096,25.29901840686798
1986-01-24 03:37:00,-439806124.8154153,2677070058.1849146,2677070058184.9146,17.89510803635332,8.193858589439603,25.29933575789134
1986-01-24 03:38:00,-439806064.8154153,2677071576.164133,2677071576164.1333,17.895118183417654,8.193859615627575,25.299653641382854
1986-01-24 03:39:00,-439806004.8154153,2677073094.1624603,2677073094162.4604,17.895128330609726,8.193860641828037,25.299972120920817
1986-01-24 03:40:00,-439805944.8154153,2677074612.179929,2677074612179.9287,17.895138477929745,8.19386166804101,25.300291140874226
