model,Om_m0,n_TF,C_best,chi2_SN,chi2_BAO,chi2_tot,dof
TFGR,0.21000000000000002,-0.68,-19.442576402801777,1211.0647320672065,34.16180344127138,1245.2265355084778,1059
TFGR,0.21000000000000002,-0.66,-19.441005271549283,1205.5791496992933,33.774426721129494,1239.3535764204228,1059
TFGR,0.21000000000000002,-0.64,-19.43943158020881,1200.1621540902677,33.387811216265405,1233.549965306533,1059
TFGR,0.21000000000000002,-0.62,-19.43785533030182,1194.8146904331118,33.00201275414061,1227.8167031872524,1059
TFGR,0.21000000000000002,-0.6,-19.436276523433563,1189.537710190152,32.61708895961774,1222.1547991497698,1059
TFGR,0.21000000000000002,-0.5800000000000001,-19.434695161293725,1184.3321710578316,32.23309930545678,1216.5652703632884,1059
TFGR,0.21000000000000002,-0.56,-19.433111245657038,1179.1990369296793,31.85010516410449,1211.0491420937838,1059
TFGR,0.21000000000000002,-0.54,-19.431524778383906,1174.139277857299,31.4681698608054,1205.6074477181044,1059
TFGR,0.21000000000000002,-0.52,-19.429935761421014,1169.1538700094482,31.08735872806435,1200.2412287375125,1059
TFGR,0.21000000000000002,-0.5,-19.4283441968019,1164.2437956291662,30.707739161489673,1194.9515347906558,1059
TFGR,0.21000000000000002,-0.48,-19.42675008664758,1159.4100429889284,30.329380677047933,1189.7394236659763,1059
TFGR,0.21000000000000002,-0.45999999999999996,-19.42515343316713,1154.6536063437788,29.952354969760197,1184.605961313539,1059
TFGR,0.21000000000000002,-0.43999999999999995,-19.423554238658213,1149.9754858824722,29.576735973871582,1179.5522218563437,1059
TFGR,0.21000000000000002,-0.42,-19.42195250550773,1145.37668767658,29.202599924525124,1174.5792876011053,1059
TFGR,0.21000000000000002,-0.39999999999999997,-19.42034823619228,1140.858223627527,28.830025420972436,1169.6882490484993,1059
TFGR,0.21000000000000002,-0.37999999999999995,-19.418741433278797,1136.421111411553,28.459093491353258,1164.8802049029064,1059
TFGR,0.21000000000000002,-0.36,-19.41713209942501,1132.0663744226144,28.089887659076993,1160.1562620816915,1059
TFGR,0.21000000000000002,-0.33999999999999997,-19.415520237380033,1127.79504171315,27.722494010839448,1155.5175357239896,1059
TFGR,0.21000000000000002,-0.31999999999999995,-19.41390584998484,1123.6081479327422,27.35700126630856,1150.9651491990508,1059
TFGR,0.21000000000000002,-0.29999999999999993,-19.412288940172783,1119.5067332646406,26.993500849513378,1146.500234114154,1059
TFGR,0.21000000000000002,-0.2799999999999999,-19.410669510970095,1115.4918433601201,26.632086961970693,1142.123930322091,1059
TFGR,0.21000000000000002,-0.2599999999999999,-19.40904756549637,1111.564529270707,26.27285665758444,1137.8373859282915,1059
TFGR,0.21000000000000002,-0.24,-19.407423106965005,1107.7258473781967,25.91590991935342,1133.6417572975502,1059
TFGR,0.21000000000000002,-0.21999999999999997,-19.405796138683723,1103.9768593225053,25.561349737922814,1129.5382090604282,1059
TFGR,0.21000000000000002,-0.2,-19.404166664054937,1100.318631927324,25.209282192015994,1125.52791411934,1059
TFGR,0.21500000000000002,-0.8,-19.448950686085094,1228.6670673089648,34.58488656170465,1263.2519538706695,1059
TFGR,0.21500000000000002,-0.78,-19.447412993567728,1223.114344283132,34.21380353632865,1257.3281478194606,1059
TFGR,0.21500000000000002,-0.76,-19.445872727361404,1217.623043859835,33.8432809745518,1251.4663248343868,1059
TFGR,0.21500000000000002,-0.74,-19.44432988822665,1212.1940514750463,33.47336501121247,1245.6674164862588,1059
