time_utc,et,L_km,L_m,L_AU
1986-01-24 02:43:00,-439809364.8154153,2676988114.770291,2676988114770.291,17.89456027845917
1986-01-24 02:44:00,-439809304.8154153,2676989631.765985,2676989631765.985,17.89457041894905
1986-01-24 02:45:00,-439809244.8154153,2676991148.7790713,2676991148779.0713,17.894580559555195
1986-01-24 02:46:00,-439809184.8154153,2676992665.809578,2676992665809.578,17.89459070027778
1986-01-24 02:47:00,-439809124.8154153,2676994182.857537,2676994182857.5366,17.894600841117033
1986-01-24 02:48:00,-439809064.8154153,2676995699.9229746,2676995699922.9746,17.89461098207312
1986-01-24 02:49:00,-439809004.8154153,2676997217.0059223,2676997217005.9224,17.89462112314626
1986-01-24 02:50:00,-439808944.8154153,2676998734.1064124,2676998734106.4126,17.894631264336656
1986-01-24 02:51:00,-439808884.8154153,2677000251.224471,2677000251224.471,17.894641405644496
1986-01-24 02:52:00,-439808824.8154153,2677001768.3601313,2677001768360.1313,17.89465154706999
1986-01-24 02:53:00,-439808764.8154153,2677003285.513421,2677003285513.421,17.894661688613333
1986-01-24 02:54:00,-439808704.8154153,2677004802.6843724,2677004802684.3726,17.89467183027474
1986-01-24 02:55:00,-439808644.8154153,2677006319.8730135,2677006319873.0137,17.89468197205439
1986-01-24 02:56:00,-439808584.8154153,2677007837.079378,2677007837079.378,17.894692113952516
1986-01-24 02:57:00,-439808524.8154153,2677009354.3034935,2677009354303.4937,17.8947022559693
1986-01-24 02:58:00,-439808464.8154153,2677010871.545392,2677010871545.392,17.894712398104957
1986-01-24 02:59:00,-439808404.8154153,2677012388.8051033,2677012388805.1035,17.894722540359684
1986-01-24 03:00:00,-439808344.8154153,2677013906.0826597,2677013906082.6597,17.8947326827337
1986-01-24 03:01:00,-439808284.8154153,2677015423.37809,2677015423378.09,17.89474282522719
1986-01-24 03:02:00,-439808224.8154153,2677016940.691426,2677016940691.426,17.89475296784038
1986-01-24 03:03:00,-439808164.8154153,2677018458.0226984,2677018458022.698,17.89476311057346
1986-01-24 03:04:00,-439808104.8154153,2677019975.371938,2677019975371.938,17.89477325342665
1986-01-24 03:05:00,-439808044.8154153,2677021492.7391777,2677021492739.1777,17.89478339640016
1986-01-24 03:06:00,-439807984.8154153,2677023010.124448,2677023010124.4478,17.894793539494195
1986-01-24 03:07:00,-439807924.8154153,2677024527.5277777,2677024527527.778,17.894803682708954
1986-01-24 03:08:00,-439807864.8154153,2677026044.9492016,2677026044949.2017,17.894813826044665
1986-01-24 03:09:00,-439807804.8154153,2677027562.3887486,2677027562388.7485,17.89482396950152
1986-01-24 03:10:00,-439807744.8154153,2677029079.846453,2677029079846.453,17.89483411307975
1986-01-24 03:11:00,-439807684.8154153,2677030597.322343,2677030597322.343,17.89484425677954
1986-01-24 03:12:00,-439807624.8154153,2677032114.816454,2677032114816.454,17.894854400601133
1986-01-24 03:13:00,-439807564.8154153,2677033632.328814,2677033632328.814,17.894864544544713
1986-01-24 03:14:00,-439807504.8154153,2677035149.8594575,2677035149859.4575,17.89487468861051
1986-01-24 03:15:00,-439807444.8154153,2677036667.408416,2677036667408.416,17.894884832798734
1986-01-24 03:16:00,-439807384.8154153,2677038184.975721,2677038184975.7207,17.894894977109598
1986-01-24 03:17:00,-439807324.8154153,2677039702.561404,2677039702561.4043,17.894905121543314
1986-01-24 03:18:00,-439807264.8154153,2677041220.1654997,2677041220165.4995,17.894915266100107
1986-01-24 03:19:00,-439807204.8154153,2677042737.7880387,2677042737788.0386,17.89492541078019
1986-01-24 03:20:00,-439807144.8154153,2677044255.4290533,2677044255429.053,17.89493555558377
1986-01-24 03:21:00,-439807084.8154153,2677045773.088576,2677045773088.5757,17.89494570051107
1986-01-24 03:22:00,-439807024.8154153,2677047290.766639,2677047290766.639,17.894955845562308
1986-01-24 03:23:00,-439806964.8154153,2677048808.463277,2677048808463.277,17.89496599073771
1986-01-24 03:24:00,-439806904.8154153,2677050326.1785197,2677050326178.5195,17.894976136037474
1986-01-24 03:25:00,-439806844.8154153,2677051843.9124026,2677051843912.403,17.894986281461843
1986-01-24 03:26:00,-439806784.8154153,2677053361.6649575,2677053361664.9575,17.894996427011026
1986-01-24 03:27:00,-439806724.8154153,2677054879.436217,2677054879436.217,17.895006572685244
1986-01-24 03:28:00,-439806664.8154153,2677056397.226214,2677056397226.214,17.89501671848471
1986-01-24 03:29:00,-439806604.8154153,2677057915.034983,2677057915034.9834,17.895026864409665
1986-01-24 03:30:00,-439806544.8154153,2677059432.862557,2677059432862.557,17.895037010460317
1986-01-24 03:31:00,-439806484.8154153,2677060950.708969,2677060950708.969,17.8950471566369
1986-01-24 03:32:00,-439806424.8154153,2677062468.574251,2677062468574.251,17.895057302939616
1986-01-24 03:33:00,-439806364.8154153,2677063986.45844,2677063986458.44,17.895067449368717
