z,delta_mu_fit,delta_D_over_D,D_L_TFGR_Mpc,D_L_eff_Mpc,H_TFGR_km_s_Mpc,H_eff_km_s_Mpc,Omega_extra
0.6428571428571428,-0.17318120595684952,-0.07665551658826963,5539.852378278823,5115.192132399106,57.153331818502565,75.3671104760204,0.4925914292956748
0.6466165413533834,-0.1754562343447837,-0.07762238813600242,5584.989391526116,5151.46917724162,57.153331818734735,75.62538505285336,0.5005501074306001
0.650375939849624,-0.17774244069256637,-0.07859299031770106,5630.295212009101,5187.793474925871,57.153331818966635,75.88328035860819,0.5085242653008627
0.6541353383458646,-0.18003972883322783,-0.07956726845757633,5675.729505255533,5224.127212018279,57.153331819198335,76.14543651226418,0.516657992573034
0.6578947368421052,-0.1823480028079693,-0.0805451680985354,5721.331111868314,5260.505535715501,57.15333181942983,76.40721814209144,0.524808091051285
0.6616541353383458,-0.18466716687713827,-0.08152663500829238,5767.062685113884,5296.893470514662,57.153331819661176,76.67326975339299,0.5331197870588313
0.6654135338345865,-0.18699712553084974,-0.08251161518526529,5812.960077856458,5333.323352825057,57.153331819892294,76.93895158403416,0.5414487617827836
0.6691729323308271,-0.1893377834992652,-0.0835000548642647,5858.988931101162,5369.763033905096,57.15333182012322,77.20891285707023,0.5499414053937869
0.6729323308270676,-0.19168904576253465,-0.08449190052197741,5905.182109973525,5406.242050573482,57.153331820353834,77.47850909128837,0.5584522516002826
0.6766917293233082,-0.19405081756041107,-0.08548709888225103,5951.50824321736,5442.731069530906,57.15333182058418,77.7523945503872,0.5671288816582205
0.6804511278195489,-0.19642300440154326,-0.08648559692118096,5997.997208219512,5479.25683933507,57.15333182081435,78.02591971370693,0.5758246548876998
0.6842105263157894,-0.19880551207245625,-0.08748734187200757,6044.6206214624735,5515.792830666,57.15333182104439,78.30374420010558,0.5846883709202375
0.68796992481203,-0.201198246646227,-0.08849228122982444,6091.405372594409,5552.363015277921,57.15333182127396,78.58121313729875,0.5935721877259034
0.6917293233082706,-0.20360111449085935,-0.08950036275610318,6138.326065836496,5588.943656228886,57.153331821503144,78.86299180555817,0.6026261506581001
0.6954887218045113,-0.20601402227736965,-0.09051153448303972,6185.406603098213,5625.5559600502675,57.15333182173224,79.14441967684208,0.6117011893181789
0.6992481203007519,-0.20843687698758678,-0.09152574471772323,6232.624576339423,5662.1789704439725,57.153331821961245,79.43016799108352,0.6209486221919472
0.7030075187969924,-0.21086958592167387,-0.09254294204613456,6280.000899730915,5698.831140417444,57.15333182218964,79.71557026815518,0.6302181234285449
0.706766917293233,-0.21331205670538111,-0.09356307533697639,6327.516152971244,5735.494282454861,57.1533318224175,80.00530399799939,0.6396623121242727
0.7105263157894737,-0.21576419729703109,-0.09458609374533833,6375.188262492515,5772.1841078522175,57.15333182264525,80.29469645984435,0.6491295798263562
0.7142857142857142,-0.21822591599424748,-0.09561194671620232,6423.0007957319585,5808.885185892309,57.15333182287291,80.58843167622977,0.6587738737916198
0.7180451127819548,-0.22069712144043202,-0.09664058398779085,6470.968691383002,5845.610498081038,57.15333182309999,80.88183040474323,0.6684422757429126
0.7218045112781954,-0.2231777226309941,-0.09767195559476105,6519.078504621561,5882.347358399402,57.153331823326546,81.17958347552141,0.6782900887248731
0.7255639097744361,-0.22566762891934167,-0.09870601187124961,6567.342186402373,5919.106030588782,57.153331823552904,81.47700485098862,0.6881630573377303
0.7293233082706767,-0.2281667500226367,-0.09974270345377023,6615.749279640043,5955.876561116412,57.15333182377906,81.77879243637453,0.6982178681209453
0.7330827067669172,-0.23067499602732439,-0.10078198128396954,6664.308747550622,5992.66650808438,57.153331824004695,82.08025313276325,0.7082989011742251
0.7368421052631579,-0.2331922773944369,-0.10182379661124119,6713.0131207874,6029.468638127751,57.15333182422983,82.3860921806428,0.7185642543238472
0.7406015037593985,-0.23571850496468197,-0.10286810099520449,6761.868374827744,6066.287815929685,57.153331824454646,82.69160916079159,0.7288569157071206
0.744360902255639,-0.23825358996331758,-0.10391484630804959,6810.870028063628,6103.119515873294,57.153331824679164,83.00151690188797,0.7393364223168386
0.7481203007518796,-0.24079744400482234,-0.10496398473675239,6860.021068233735,6139.965921533849,57.15333182490321,83.31110741254678,0.7498443427790636
0.7518796992481203,-0.24334997909736164,-0.10601546878516177,6909.320001468722,6176.825202526321,57.153331825126784,83.62510135544069,0.7605416812234037
0.7556390977443609,-0.24591110764705945,-0.10706925127596356,6958.766827768588,6213.696873715393,57.153331825349944,83.93878292221925,0.7712685591275279
0.7593984962406015,-0.2484807424620775,-0.10812528535252286,7008.363041002676,6250.581787340187,57.15333182557267,84.25688084829257,0.7821874758202761
0.763157894736842,-0.2510587967565069,-0.10918352448060797,7058.1056534323,6287.476802034057,57.153331825794986,84.5746712704583,0.793137077901358
0.7669172932330827,-0.2536451841540801,-0.11024392244999981,7107.9991466654865,6324.385439965832,57.15333182601686,84.8968912287435,0.8042813880592475
0.7706766917293233,-0.2562398186917021,-0.11130643337598789,7158.037545224865,6361.301916094474,57.153331826238215,85.21880857396758,0.8154575501890687
0.7744360902255638,-0.2588426148228116,-0.11237101170075747,7208.228318457147,6398.232409742068,57.15333182645902,85.54516887581705,0.826831138597291
0.7781954887218044,-0.26145348742057234,-0.1134376121946693,7258.562503146279,6435.168504823603,57.15333182667947,85.8712314748298,0.8382377665537282
0.7819548872180451,-0.26407235178089933,-0.11450618995743467,7309.050556377655,6472.119024960582,57.15333182689951,86.20175068860667,0.8498445883397991
0.7857142857142857,-0.266699123625327,-0.11557670041918966,7359.680527196537,6509.072935723799,57.15333182711895,86.53197712973011,0.8614856585794628
0.7894736842105263,-0.2693337191037196,-0.11664909934146939,7410.465860427004,6546.0416921074875,57.15333182733771,86.86667407534699,0.8733297399891402
0.7932330827067668,-0.2719760547968314,-0.11772334281808661,7461.391617375633,6583.011654103324,57.15333182755615,87.2010831990054,0.8852093004263507
0.7969924812030075,-0.27462604771871735,-0.11879938727591532,7512.474230605191,6619.996895083191,57.15333182777424,87.53997694242018,0.8972947396048541
0.8007518796992481,-0.2772836153190014,-0.11987718947558379,7563.6957736835675,6656.98118228603,57.15333182799163,87.87858783554836,0.9094169103938097
0.8045112781954886,-0.2799486754850025,-0.12095670651207668,7615.07566691221,6693.981194402253,57.15333182820822,88.22169768318697,0.9217478781710934
0.8082706766917293,-0.28262114654372644,-0.12203789581525226,7666.592996120331,6730.978118801855,57.15333182842454,88.56452967357481,0.9341168524921445
0.8120300751879699,-0.285300947263722,-0.12312071515027279,7718.270169348061,6767.991226374911,57.153331828640525,88.91187516666206,0.9466975931708984
0.8157894736842105,-0.2879879968568107,-0.12420512261795535,7770.083284685925,6804.999137559784,57.15333182885575,89.25894781727891,0.9593176380221273
0.8195488721804511,-0.2906822149796881,-0.12529107665503958,7822.057737912738,6842.023702271767,57.15333182907006,89.610548726168,0.9721524701716608
0.8233082706766917,-0.29338352173540283,-0.12637853603437887,7874.16663938034,6879.040987004708,57.15333182928413,89.96188182938232,0.9850279271623441
0.8270676691729323,-0.29609183767471803,-0.12746745986505648,7926.438372606233,6916.075407473205,57.15333182949789,90.31775814778982,0.9981212444142771
0.8308270676691729,-0.2988070837973547,-0.12855780759242585,7978.843060203574,6953.100489259761,57.15333182971082,90.6733717195483,1.0112565305621113
0.8345864661654134,-0.3015291815531229,-0.12964953899808107,8031.412073428545,6990.143200604912,57.15333182992275,91.03354365872745,1.0246128024090155
0.8383458646616541,-0.30425805284294394,-0.13074261419975652,8084.112547155622,7027.174539255444,57.15333183013444,91.39345793272628,1.0380124109419486
0.8421052631578947,-0.30699362001976355,-0.1318369936511592,8136.978840379675,7064.224012660923,57.15333183034582,91.7579459156282,1.0516361835399448
0.8458646616541353,-0.3097358058893632,-0.13293263814173495,8189.975100236487,7101.260103846931,57.15333183055636,92.1221813374262,1.0653046847003977
0.849624060150376,-0.3124845337110697,-0.13402950879637077,8243.138673459614,7138.314846115455,57.15333183076581,92.4910059927946,1.079200581673783
0.8533834586466165,-0.3152397271983662,-0.13512756707503537,8296.430719446158,7175.3542209208135,57.15333183097501,92.85958321382364,1.0931426235231625
0.8571428571428571,-0.31800131051940816,-0.1362267747723589,8349.891572668359,7212.412774024849,57.15333183118389,93.23276537024128,1.1073153467708257
0.8609022556390977,-0.3207692082974464,-0.13732709401715448,8403.479404784637,7249.453998492556,57.15333183139192,93.60570524183926,1.1215356559985505
0.8646616541353382,-0.3235433456111597,-0.13842848727188284,8457.23753800591,7286.514939120769,57.15333183159878,93.98326592178377,1.1359899865044651
0.8684210526315789,-0.3263236479949004,-0.1395309173320618,8511.121156251917,7323.5566137957685,57.15333183180539,94.36058948921547,1.1504933692399555
0.8721804511278195,-0.3291100414388539,-0.1406343473256223,8565.176569472262,7360.618552895818,57.15333183201164,94.74254990295888,1.1652341678805345
0.8759398496240601,-0.33190245238911703,-0.14173874071221282,8619.355973847998,7397.659312364494,57.15333183221704,95.12427839930834,1.1800255105031847
0.8796992481203008,-0.33470080774769434,-0.14284406128245353,8673.708667067413,7434.720894682687,57.153331832421244,95.51065993893744,1.1950577188621416
0.8834586466165413,-0.337505034872417,-0.14395027315714126,8728.183857572873,7471.759407109506,57.153331832625156,95.8968147790469,1.210141988815646
