z,H_eff_km_s_Mpc,Omega_extra
0.5728643216080401,95.8380643156639,0.006530684543869139
0.5804020100502513,96.27089368893839,0.006625026853369426
0.5879396984924623,96.7059078528699,0.006720273395368577
0.5954773869346733,97.14309704832976,0.0068164284825812166
0.6030150753768844,97.58245154540052,0.00691349642772195
0.6105527638190954,98.02396164487847,0.0070114815435054064
0.6180904522613065,98.46761767971662,0.0071103881426462165
0.6256281407035176,98.91341001640897,0.00721022053785899
0.6331658291457286,99.36132905631769,0.007310983041858345
0.6407035175879396,99.81136523694423,0.007412679967358913
0.6482412060301507,100.26350903314591,0.007515315627075309
0.6557788944723618,100.71775095829898,0.00761889433372215
0.6633165829145728,101.17408156540984,0.007723420400014072
0.6708542713567839,101.63249144817516,0.007828898138665682
0.6783919597989949,102.09297124199273,0.007935331862391598
0.685929648241206,102.55551162492375,0.008042725883906447
0.6934673366834171,103.02010331860816,0.008151084515924863
0.7010050251256281,103.48673708913412,0.008260412071161448
0.7085427135678392,103.95540374786269,0.008370712862330825
0.7160804020100502,104.4260941522094,0.008481991202147625
0.7236180904522613,104.89879920638288,0.008594251403326463
0.7311557788944724,105.37350986208304,0.00870749777858196
0.7386934673366834,105.85021711915887,0.008821734640628739
0.7462311557788944,106.32891202622748,0.008936966302181418
0.7537688442211055,106.8095856812553,0.009053197075954615
0.7613065326633166,107.29222923210274,0.00917043127466296
0.7688442211055276,107.77683387703318,0.00928867321102107
0.7763819095477387,108.26339086518738,0.009407927197743565
0.7839195979899497,108.75189149702449,0.00952819754754506
0.7914572864321607,109.24232712473054,0.009649488573140186
0.7989949748743719,109.73468915259537,0.009771804587243563
0.8065326633165829,110.22896903735904,0.009895149902569808
0.8140703517587939,110.72515828852897,0.010019528831833543
0.821608040201005,111.22324846866803,0.010144945687749388
0.829145728643216,111.72323119365531,0.010271404783031962
0.8366834170854272,112.22509813292004,0.010398910430395892
0.8442211055276382,112.72884100964937,0.010527466942555797
0.8517587939698492,113.23445160097148,0.010657078632226296
0.8592964824120602,113.7419217381143,0.010787749812122006
0.8668341708542713,114.25124330654093,0.010919484794957558
0.8743718592964824,114.76240824606246,0.011052287893447567
0.8819095477386935,115.27540855092911,0.011186163420306655
0.8894472361809045,115.79023626990039,0.011321115688249443
0.8969849246231155,116.30688350629501,0.01145714900999055
0.9045226130653266,116.82534241802117,0.011594267698244594
0.9120603015075377,117.34560521758834,0.011732476065726208
0.9195979899497487,117.86766417210079,0.011871778425150003
0.9271356783919598,118.39151160323365,0.012012179089230603
0.9346733668341708,118.91713988719245,0.012153682370682622
0.9422110552763818,119.44454145465643,0.012296292582220696
0.949748743718593,119.97370879070641,0.012440014036559435
0.957286432160804,120.50463443473791,0.012584851046413463
0.964824120603015,121.0373109803599,0.012730807924497399
0.9723618090452261,121.57173107528003,0.012877888983525865
0.9798994974874371,122.10788742117657,0.013026098536213476
0.9874371859296482,122.6457727735581,0.013175440895274865
0.9949748743718593,123.18537994161083,0.01332592037342465
1.0025125628140703,123.72670178803477,0.013477541283377449
1.0100502512562815,124.26973122886866,0.013630307937847872
1.0175879396984924,124.81446123330463,0.013784224649550562
1.0251256281407035,125.3608848234925,0.013939295731200126
1.0326633165829144,125.90899507433487,0.014095525495511189
1.0402010050251256,126.45878511327302,0.01425291825519837
1.0477386934673367,127.01024812006388,0.01441147832297629
1.0552763819095476,127.56337732654916,0.014571210011559567
1.0628140703517588,128.1181660164163,0.014732117633662828
1.0703517587939697,128.67460752495205,0.014894205502000688
1.0778894472361809,129.23269523878912,0.015057477929287785
1.085427135678392,129.79242259564595,0.015221939228238727
1.092964824120603,130.35378308406018,0.015387593711568122
1.100502512562814,130.9167702431164,0.015554445691990599
1.108040201005025,131.4813776621678,0.015722499482220792
1.1155778894472361,132.04759898055292,0.015891759394973306
1.1231155778894473,132.61542788730705,0.01606222974296279
1.1306532663316582,133.18485812086917,0.01623391483890382
1.1381909547738693,133.75588346878448,0.016406818995511063
1.1457286432160803,134.32849776740247,0.016580946525499102
1.1532663316582914,134.90269490157178,0.01675630174158258
1.1608040201005025,135.4784688043308,0.016932888956476107
1.1683417085427135,136.05581345659547,0.017110712482894315
1.1758793969849246,136.63472288684372,0.01728977663355182
1.1834170854271355,137.215191170797,0.017470085721163237
1.1909547738693467,137.79721243109967,0.017651644058443206
1.1984924623115578,138.38078083699543,0.017834455958106316
1.2060301507537687,138.9658906040021,0.018018525732867205
1.2135678391959799,139.55253599358403,0.018203857695440504
1.2211055276381908,140.1407113128229,0.018390456158540815
1.228643216080402,140.73041091408723,0.01857832543488279
