z,mu_SN,mu_err,mu_model,residual
0.17008,20.2489,0.107,20.214132763446354,0.034767236553644665
0.23643,20.87655,0.14325,21.015253078892552,-0.13870307889255074
0.30538,21.3803,0.19765,21.652627745159617,-0.2723277451596182
0.08286,18.5179,0.1055,18.52734329747211,-0.009443297472110146
0.18905,20.2039,0.1187,20.46907983128735,-0.2651798312873481
0.08162,18.511,0.10425,18.492709753133344,0.01829024686665548
0.25626,21.2564,0.16145,21.214386605464103,0.042013394535896254
0.12631,19.58525,0.13485,19.507073931524882,0.07817606847511627
0.1028,19.16175,0.1443,19.025556932377594,0.13619306762240768
0.1244,19.4784,0.1006,19.471242380296115,0.0071576197038858425
0.37003,22.46065,0.1636,22.139962513618197,0.32068748638180367
0.20192,20.38595,0.11475,20.628916210615277,-0.24296621061527546
0.18004,20.68245,0.14335,20.351091003901384,0.33135899609861497
0.16163,20.1359,0.1299,20.091983623792967,0.043916376207032926
0.22644,20.8771,0.141,20.909052807922468,-0.03195280792246891
0.29649,21.4449,0.1446,21.578344785904772,-0.13344478590477138
0.24999,21.20115,0.13305,21.152998023816107,0.048151976183891776
0.14864,19.91815,0.1063,19.892127236344013,0.026022763655987546
0.14711,19.776,0.10335,19.86752759887919,-0.09152759887918904
0.2149,21.20185,0.1483,20.78087938291908,0.420970617080922
0.14462,19.8106,0.13965,19.826978993565756,-0.01637899356575545
0.13226,19.9293,0.1333,19.615531845856477,0.3137681541435242
0.2195,21.00055,0.1346,20.83271218096146,0.16783781903853878
0.38447,22.40575,0.14945,22.23804564642462,0.16770435357538105
0.1742,20.3461,0.1115,20.271663490750722,0.0744365092492778
0.17772,20.20345,0.1224,20.319826963600395,-0.11637696360039484
0.29911,21.51975,0.1301,21.60044658194479,-0.08069658194479246
0.1187,19.44875,0.1339,19.3611599255636,0.08759007443639888
0.17685,20.2397,0.106,20.308005349316385,-0.0683053493163861
0.24526,21.3752,0.1882,21.105745938763963,0.2694540612360363
0.1959,20.54825,0.11935,20.555358267564753,-0.007108267564753135
0.24832,21.09655,0.1326,21.13640917470782,-0.03985917470781786
0.30617,21.77705,0.16135,21.659132436652325,0.11791756334767456
0.24616,21.1569,0.13055,21.114800681272637,0.042099318727363055
0.13527,19.9671,0.1135,19.668673132395302,0.2984268676046966
0.21028,20.6402,0.1335,20.727783646670407,-0.08758364667040652
0.23603,21.1547,0.12315,21.01108076200188,0.14361923799812004
0.17831,20.37535,0.1134,20.327813341176647,0.047536658823354117
0.22043,20.81795,0.15445,20.84307032755738,-0.025120327557381472
0.31468,21.8201,0.1572,21.728246192817434,0.09185380718256653
0.1846,20.55175,0.1118,20.41147071062164,0.1402792893783591
0.2611,21.2036,0.13865,21.26083921844943,-0.057239218449428364
0.18122,20.21145,0.10535,20.36684988529485,-0.15539988529485171
0.38003,22.03255,0.1506,22.208252404613344,-0.17570240461334308
0.1846,20.38765,0.1082,20.41147071062164,-0.023820710621638597
0.20824,20.65465,0.12075,20.703996759211147,-0.04934675921114717
0.17746,20.33625,0.12905,20.316299618301603,0.019950381698397024
0.31555,21.7168,0.15355,21.735215117995292,-0.018415117995292718
0.24954,21.1676,0.1247,21.148537778660508,0.019062221339492424
0.20324,20.6509,0.11955,20.644774444518244,0.00612555548175564
0.12347,19.4198,0.10285,19.453608486607205,-0.03380848660720659
0.20314,20.64385,0.12035,20.64357654707862,0.00027345292138036825
0.15352,20.1226,0.10495,19.969044481336777,0.1535555186632216
0.33398,21.9349,0.1592,21.87885397991631,0.056046020083687864
0.19582,20.5286,0.1151,20.554366562949557,-0.02576656294955626
0.24943,21.0769,0.14445,21.1474466616737,-0.07054666167370272
0.1549,20.0251,0.1063,19.990383284252527,0.03471671574747148
0.15625,19.98785,0.12595,20.011088405181805,-0.023238405181803756
0.15819,19.81685,0.12375,20.040552518975293,-0.22370251897529414
0.309,21.8114,0.19685,21.682309356642673,0.12909064335732623
0.24828,21.1261,0.1388,21.136010658190447,-0.009910658190445787
0.18484,20.31575,0.1235,20.414609752705385,-0.09885975270538339
0.18353,20.5074,0.1247,20.397427350142447,0.1099726498575535
0.18212,20.37965,0.13765,20.378805779461754,0.0008442205382479528
0.17675,20.28545,0.129,20.306642846236105,-0.0211928462361044
0.17748,20.0718,0.12115,20.316571156074456,-0.24477115607445654
0.0718,18.0121,0.1254,18.199251970621585,-0.18715197062158495
0.13796,19.66285,0.10475,19.71523819858478,-0.05238819858478294
0.16941,20.46515,0.1317,20.20465515261147,0.26049484738853224
0.24527,20.7198,0.14705,21.105846711360723,-0.38604671136072355
0.14406,19.81665,0.10485,19.817770132533493,-0.001120132533493745
0.25163,21.2338,0.1462,21.169190243621873,0.06460975637812538
0.03743,16.7708,0.1166,16.730211731313556,0.04058826868644516
0.27716,21.8807,0.2055,21.409519698509964,0.47118030149003687
0.28712,21.2668,0.1491,21.497809376204696,-0.23100937620469608
0.19845,20.61015,0.13895,20.58676756218927,0.02338243781073146
0.16031,20.07605,0.129,20.072369937749652,0.0036800622503463387
0.21053,21.0136,0.15075,20.730684545470393,0.28291545452960776
0.23753,21.0147,0.1316,21.026693678824504,-0.011993678824502751
0.15499,20.14265,0.11795,19.991769040579253,0.1508809594207463
0.0939,18.94955,0.14945,18.815644590516325,0.13390540948367402
0.15253,20.08555,0.11355,19.95362565356785,0.13192434643215023
0.25693,21.2741,0.1446,21.22086469697673,0.053235303023271285
0.21231,20.80065,0.1303,20.75124486513322,0.049405134866781
0.24583,20.88445,0.13085,21.111484257210694,-0.22703425721069337
0.13679,19.76485,0.11075,19.695090128809124,0.06975987119087534
0.32529,21.9051,0.1809,21.812055834909966,0.09304416509003488
0.10643,19.09035,0.10245,19.106280219826697,-0.0159302198266964
0.4008,22.30585,0.1602,22.34496858035703,-0.0391185803570302
0.1891,20.4864,0.13035,20.469720051436443,0.01667994856355648
0.19731,20.4352,0.1122,20.572772137079948,-0.13757213707994964
0.12783,19.5616,0.132,19.535228358954388,0.026371641045610517
0.12291,19.44025,0.1033,19.442930125010466,-0.002680125010467549
0.12687,19.59325,0.10365,19.517483383961792,0.07576661603820867
0.21311,20.67635,0.1429,20.760433508300704,-0.08408350830070432
0.21075,20.727,0.12695,20.73323413466024,-0.0062341346602394765
0.26826,21.4883,0.15275,21.328131899303397,0.1601681006966018
0.20431,20.66435,0.12435,20.657560094069648,0.00678990593035067
0.26991,21.2859,0.12695,21.343405588544055,-0.05750558854405341
0.24162,20.98075,0.15175,21.06881001857101,-0.08806001857101009
0.2908,21.236,0.14645,21.52972230818116,-0.2937223081811595
0.35306,21.81675,0.1515,22.020100014933387,-0.20335001493338822
0.28509,21.60225,0.15435,21.48004491775642,0.12220508224358184
0.21929,20.6719,0.1534,20.83036815300535,-0.158468153005348
0.17537,20.24765,0.1249,20.287771493185023,-0.04012149318502267
0.23517,20.9929,0.1458,21.002087944574267,-0.009187944574268414
0.15298,19.99965,0.1096,19.960645792670743,0.039004207329256246
0.20982,20.90475,0.1584,20.72243872985217,0.18231127014783155
