z_sn,mu_sn,mu_err,mu_tfgr_interp,C_best,delta_mu_data,weight
0.0288,16.09165,0.13605,35.945087690250176,-19.93570238789104,0.0822646976408663,54.02601163369122
0.02894,16.02685,0.1316,35.95698652761377,-19.93570238789104,0.005565860277268797,57.74152123502185
0.02932,15.8648,0.1457,35.98928337188638,-19.93570238789104,-0.18878098399533805,47.10650639777017
0.0295,16.3438,0.12735,36.00458187706814,-19.93570238789104,0.27492051082290203,61.65979853585726
0.0299,16.2413,0.123,36.038578555249835,-19.93570238789104,0.13842383264120528,66.09822195782934
0.03001,16.1733,0.12025,36.0479276417498,-19.93570238789104,0.061074746141240865,69.15599431191947
0.03048,16.25295,0.1342,36.081747187020355,-19.93570238789104,0.10690520087068478,55.52581839503731
0.03049,16.28725,0.1419,36.082411025866385,-19.93570238789104,0.14054136202465628,49.6632582772511
0.03055,15.88935,0.45085,36.086394058942545,-19.93570238789104,-0.26134167105150397,4.919668637194843
0.03144,16.31895,0.12075,36.145475716238934,-19.93570238789104,0.10917667165210787,68.58445961875614
0.03155,16.1279,0.14115,36.15277794354523,-19.93570238789104,-0.08917555565419022,50.192431508349074
0.03161,16.3736,0.12625,36.15676097662139,-19.93570238789104,0.15254141126964882,62.73894716204293
0.03163,16.21965,0.11945,36.158088654313445,-19.93570238789104,-0.0027362664224028777,70.08542186430375
0.03184,16.34225,0.12125,36.17202927008001,-19.93570238789104,0.10592311781103092,68.01998086938039
0.03191,16.59205,0.12775,36.1766761420022,-19.93570238789104,0.3510762458888408,61.27427514447325
0.03212,16.23615,0.1431,36.190616757768765,-19.93570238789104,-0.018764369877725784,48.8338238690941
0.0322,16.472,0.1289,36.19592746853698,-19.93570238789104,0.21177491935406323,60.185817693547065
0.03273,16.3843,0.1205,36.2311109273764,-19.93570238789104,0.0888914605146418,68.86933764914517
0.0328,16.64085,0.12525,36.23575779929859,-19.93570238789104,0.34079458859245193,63.744765957107745
0.03292,16.452,0.1185,36.24372386545091,-19.93570238789104,0.14397852244013265,71.21365877975396
0.03314,16.39225,0.12215,36.258328320063505,-19.93570238789104,0.0696240678275366,67.02133238743893
0.03348,16.4802,0.15235,36.280898840828414,-19.93570238789104,0.1350035470626274,43.08390730971264
0.03359,16.59355,0.1061,36.28820106813471,-19.93570238789104,0.24105131975633043,88.83195747436531
0.03378,16.38795,0.1403,36.30081400620922,-19.93570238789104,0.02283838168181873,50.80245010056345
0.03399,16.35135,0.11105,36.31475462197579,-19.93570238789104,-0.027702234084745925,81.08917356144259
0.03408,16.39975,0.12455,36.32072917159003,-19.93570238789104,0.014723216301010922,64.46330031791689
0.03411,16.515,0.1148,36.32272068812811,-19.93570238789104,0.12798169976293394,75.87806092097756
0.03416,16.57565,0.1563,36.326039882358245,-19.93570238789104,0.18531250553279577,40.93379817754544
0.03426,16.4701,0.12025,36.33267827081851,-19.93570238789104,0.07312411707252764,69.15599431191947
0.03434,16.61295,0.1249,36.337988981586726,-19.93570238789104,0.21066340630431668,64.1025230112032
0.03438,16.6071,0.12105,36.34064433697083,-19.93570238789104,0.20215805092020744,68.244933112288
