z,mu_SN,mu_err,mu_model,residual
0.63822,23.49005,0.184,23.561864063435365,-0.07181406343536523
0.53532,23.06945,0.11085,23.097618766187757,-0.028168766187757655
0.77307,24.17605,0.17625,24.07278083107154,0.10326916892845972
0.3705,22.15255,0.1043,22.143539952764876,0.009010047235125995
0.69916,23.88895,0.1728,23.804402964243764,0.08454703575623768
0.3735,22.11185,0.1039,22.164161006959688,-0.05231100695968749
0.85298,24.3052,0.1508,24.33640621424879,-0.03120621424879033
0.60326,23.58805,0.1429,23.412601584045,0.1754484159549996
0.53433,22.9223,0.1289,23.092757720354932,-0.170457720354932
0.40048,22.2601,0.1151,22.343068236694222,-0.08296823669422082
0.3715,22.20135,0.10745,22.150430086553236,0.05091991344676572
0.83999,24.0253,0.15175,24.295227975600028,-0.26992797560002657
0.53278,23.059,0.11385,23.08512895580592,-0.026128955805919674
0.93225,24.704,0.21015,24.5751492431204,0.12885075687960068
0.55381,23.2838,0.1242,23.186902331590964,0.09689766840903502
0.84214,24.3261,0.1858,24.302086085305447,0.02401391469455305
0.72767,23.8687,0.19785,23.911016314374358,-0.04231631437435723
0.44255,22.67285,0.1137,22.600991328154556,0.07185867184544392
0.28251,21.5746,0.1073,21.458031236388116,0.11656876361188395
0.51961,23.03865,0.109,23.01946158251652,0.019188417483480436
1.0608,24.6873,0.16415,24.922799937980052,-0.23549993798005175
0.26849,21.24725,0.1051,21.3310423154754,-0.08379231547539945
0.2505,21.1763,0.1114,21.158876781829164,0.017423218170836918
0.69816,23.7924,0.2171,23.800588011592957,-0.008188011592956457
0.73012,23.7684,0.19115,23.919990068691867,-0.15159006869186697
0.99781,24.6122,0.0953,24.7579912120461,-0.1457912120460989
0.40946,22.451,0.10895,22.400155446210427,0.050844553789573865
0.12679,19.5429,0.11965,19.516954968033765,0.02594503196623421
0.25577,21.3344,0.1818,21.210456144631088,0.1239438553689105
0.08859,18.64345,0.10605,18.682135459105304,-0.0386854591053023
0.11782,19.19345,0.0991,19.34466864013727,-0.15121864013727304
0.18356,20.2951,0.1284,20.398775539943742,-0.10367553994374035
0.14055,19.871,0.11635,19.760239172636226,0.11076082736377302
0.15171,19.7933,0.10325,19.941749589169127,-0.14844958916912887
0.094,18.889,0.10285,18.819006850390338,0.06999314960966174
0.28631,21.6827,0.1504,21.49145346188059,0.19124653811941172
0.26318,21.3576,0.14295,21.281355426527718,0.07624457347228386
0.14167,19.79675,0.1047,19.779054513183745,0.017695486816254657
0.16053,19.9329,0.1156,20.07661664219195,-0.14371664219195068
0.1229,19.3948,0.11665,19.443691674715687,-0.04889167471568712
0.1262,19.36855,0.113,19.505976777903285,-0.13742677790328628
0.17331,20.15345,0.09925,20.260304869979493,-0.10685486997949312
0.16448,20.03175,0.1083,20.134796342514967,-0.10304634251496836
0.16018,19.92285,0.11045,20.071396665055623,-0.14854666505562264
0.24488,20.86815,0.1298,21.10276148282629,-0.2346114828262884
0.24805,20.98175,0.13435,21.134555195785985,-0.15280519578598373
0.27511,21.37075,0.15505,21.391745339153182,-0.02099533915318119
0.33015,21.9321,0.1589,21.8501469056108,0.08195309438919907
0.3307,21.82885,0.1481,21.85436268395116,-0.025512683951159687
0.1604,19.98615,0.10955,20.074679258054395,-0.08852925805439682
0.21861,20.87005,0.13435,20.823669195606932,0.04638080439306691
0.12005,19.36835,0.1021,19.388614566525682,-0.020264566525682426
0.17818,20.72835,0.1286,20.32701104335655,0.40133895664344976
0.279,21.50115,0.13265,21.426791148420655,0.07435885157934408
0.18562,20.48365,0.1298,20.425737932590998,0.05791206740900279
0.06641,17.9881,0.1134,18.02226825449622,-0.034168254496218964
0.25769,21.2775,0.14285,21.22900622129839,0.04849377870160865
0.27946,21.2773,0.1398,21.430904203071016,-0.15360420307101563
0.2655,21.0609,0.1301,21.303178435463238,-0.24227843546323768
0.18478,20.37525,0.1056,20.414779656309264,-0.03952965630926286
0.05715,17.65695,0.1072,17.68161888663557,-0.02466888663557043
0.32601,21.6733,0.1464,21.81820690416241,-0.1449069041624078
0.10902,19.1721,0.10285,19.163231914405465,0.008868085594535557
0.20299,20.7001,0.1382,20.64270822219857,0.05739177780142768
0.37949,22.13745,0.1395,22.20488611064072,-0.06743611064072041
0.21198,20.68915,0.12295,20.748360345887725,-0.059210345887724
0.21327,20.78295,0.1364,20.7631840001982,0.019765999801798273
0.14393,19.83575,0.113,19.816592880178447,0.019157119821553437
0.25218,21.1678,0.16095,21.17542673884399,-0.0076267388439887895
0.25641,21.2758,0.1749,21.216654515763814,0.05914548423618626
0.2186,20.976,0.1685,20.823557192880543,0.15244280711945635
0.07883,18.5397,0.12205,18.413779243022923,0.12592075697707727
0.08328,18.7438,0.11605,18.539849898831335,0.2039501011686653
0.17008,20.2489,0.107,20.215096732743532,0.03380326725646654
0.23643,20.87655,0.14325,21.016118810898355,-0.1395688108983535
0.30538,21.3803,0.19765,21.65327193570775,-0.27297193570775136
0.08286,18.5179,0.1055,18.528222965761223,-0.010322965761222491
0.18905,20.2039,0.1187,20.470028907538754,-0.2661289075387536
0.08162,18.511,0.10425,18.49359514762626,0.017404852373740454
0.25626,21.2564,0.16145,21.215203359170424,0.041196640829575415
0.12631,19.58525,0.13485,19.508027772836243,0.07722222716375526
0.1028,19.16175,0.1443,19.026480974629386,0.13526902537061503
0.1244,19.4784,0.1006,19.47219412642825,0.006205873571751397
0.37003,22.46065,0.1636,22.140294021933947,0.3203559780660541
0.20192,20.38595,0.11475,20.629850319163985,-0.24390031916398414
0.18004,20.68245,0.14335,20.352045173376595,0.3304048266234041
0.16163,20.1359,0.1299,20.092946388882915,0.04295361111708473
0.22644,20.8771,0.141,20.909944155446723,-0.0328441554467247
0.29649,21.4449,0.1446,21.579022630034153,-0.13412263003415248
0.24999,21.20115,0.13305,21.153830702643667,0.04731929735633145
0.14864,19.91815,0.1063,19.89309139823466,0.025058601765341137
0.14711,19.776,0.10335,19.86849411209152,-0.09249411209151859
0.2149,21.20185,0.1483,20.781793281040443,0.42005671895955743
0.14462,19.8106,0.13965,19.827938421747476,-0.017338421747474797
0.13226,19.9293,0.1333,19.6164927291591,0.3128072708409029
0.2195,21.00055,0.1346,20.83361437230306,0.16693562769694026
0.38447,22.40575,0.14945,22.238296288483497,0.16745371151650446
0.1742,20.3461,0.1115,20.27262335846146,0.07347664153854083
0.17772,20.20345,0.1224,20.320786068650158,-0.11733606865015744
0.29911,21.51975,0.1301,21.60111606291222,-0.08136606291222037
0.1187,19.44875,0.1339,19.362104865333585,0.08664513466641566
0.17685,20.2397,0.106,20.308963731086386,-0.06926373108638728
0.24526,21.3752,0.1882,21.106592579466813,0.2686074205331863
0.1959,20.54825,0.11935,20.556300163239932,-0.008050163239932573
0.24832,21.09655,0.1326,21.137247440254193,-0.040697440254191974
0.30617,21.77705,0.16135,21.659771947757385,0.11727805224261445
0.24616,21.1569,0.13055,21.11564319605627,0.04125680394373177
0.13527,19.9671,0.1135,19.669628659740027,0.29747134025997113
0.21028,20.6402,0.1335,20.728700712049275,-0.08850071204927445
0.23603,21.1547,0.12315,21.011949762258396,0.1427502377416019
0.17831,20.37535,0.1134,20.328767045941568,0.046582954058433046
0.22043,20.81795,0.15445,20.843973482563797,-0.026023482563797273
0.31468,21.8201,0.1572,21.728851436203293,0.09124856379670732
0.1846,20.55175,0.1118,20.41242424219375,0.13932575780624745
0.2611,21.2036,0.13865,21.261639416430413,-0.058039416430410995
0.18122,20.21145,0.10535,20.367807063508266,-0.15635706350826695
0.38003,22.03255,0.1506,22.20852930924977,-0.1759793092497688
0.1846,20.38765,0.1082,20.41242424219375,-0.02477424219375024
0.20824,20.65465,0.12075,20.70491789289428,-0.05026789289427924
0.17746,20.33625,0.12905,20.31725969487377,0.018990305126230567
0.31555,21.7168,0.15355,21.73581483566832,-0.019014835668322405
0.24954,21.1676,0.1247,21.149370952288827,0.018229047711173507
0.20324,20.6509,0.11955,20.645705759132596,0.005194240867403721
0.12347,19.4198,0.10285,19.454558850438076,-0.03475885043807736
0.20314,20.64385,0.12035,20.64450724085529,-0.0006572408552898423
0.15352,20.1226,0.10495,19.970010293286492,0.15258970671350625
0.33398,21.9349,0.1592,21.879370299130606,0.055529700869392684
0.19582,20.5286,0.1151,20.555308475715584,-0.026708475715583546
0.24943,21.0769,0.14445,21.14828062082733,-0.07138062082733043
0.1549,20.0251,0.1063,19.991351491632237,0.03374850836776133
0.15625,19.98785,0.12595,20.01205409409298,-0.024204094092979744
0.15819,19.81685,0.12375,20.041518912228263,-0.2246689122282639
0.309,21.8114,0.19685,21.68293893251677,0.12846106748322939
0.24828,21.1261,0.1388,21.136848799783223,-0.010748799783222296
0.18484,20.31575,0.1235,20.415564226925888,-0.09981422692588637
0.18353,20.5074,0.1247,20.39838100352445,0.10901899647555169
0.18212,20.37965,0.13765,20.37975646444476,-0.00010646444475881367
0.17675,20.28545,0.129,20.307600708136576,-0.022150708136575048
0.17748,20.0718,0.12115,20.31753115780201,-0.24573115780200894
0.0718,18.0121,0.1254,18.200109001773846,-0.18800900177384605
0.13796,19.66285,0.10475,19.716202208018323,-0.05335220801832463
0.16941,20.46515,0.1317,20.205617988951744,0.2595320110482575
0.24527,20.7198,0.14705,21.106693306579366,-0.38689330657936694
0.14406,19.81665,0.10485,19.81873456430708,-0.002084564307079262
0.25163,21.2338,0.1462,21.170016781755436,0.06378321824456279
0.03743,16.7708,0.1166,16.730945462313592,0.03985453768640923
0.27716,21.8807,0.2055,21.410270309860017,0.4704296901399836
0.28712,21.2668,0.1491,21.498522607583737,-0.23172260758373753
0.19845,20.61015,0.13895,20.587705523241773,0.022444476758227694
0.16031,20.07605,0.129,20.073336978822987,0.0027130211770121093
0.21053,21.0136,0.15075,20.731603021362808,0.2819969786371921
0.23753,21.0147,0.1316,21.02756007733791,-0.012860077337908393
0.15499,20.14265,0.11795,19.992736919653716,0.14991308034628403
0.0939,18.94955,0.14945,18.81654261725106,0.1330073827489393
0.15253,20.08555,0.11355,19.954592118476555,0.13095788152344667
0.25693,21.2741,0.1446,21.22167769692704,0.05242230307296225
0.21231,20.80065,0.1303,20.752159611304187,0.048490388695814346
0.24583,20.88445,0.13085,21.112326580762378,-0.22787658076237705
0.13679,19.76485,0.11075,19.69604890148249,0.0688010985175076
0.32529,21.9051,0.1809,21.812613672659104,0.09248632734089668
0.10643,19.09035,0.10245,19.107210733570405,-0.016860733570403852
0.4008,22.30585,0.1602,22.345122981479314,-0.03927298147931424
0.1891,20.4864,0.13035,20.47066874916824,0.015731250831759525
0.19731,20.4352,0.1122,20.57370905762204,-0.13850905762204135
0.12783,19.5616,0.132,19.536179072256708,0.025420927743290633
0.12291,19.44025,0.1033,19.443882796368477,-0.0036327963684783526
0.12687,19.59325,0.10365,19.518439272273625,0.07481072772637631
0.21311,20.67635,0.1429,20.761350484465922,-0.08500048446592245
0.21075,20.727,0.12695,20.734153848692138,-0.007153848692137643
0.26826,21.4883,0.15275,21.328909942225486,0.15939005777451243
0.20431,20.66435,0.12435,20.65848866747301,0.005861332526990282
0.26991,21.2859,0.12695,21.344179517845326,-0.05827951784532459
0.24162,20.98075,0.15175,21.069665667386765,-0.0889156673867646
0.2908,21.236,0.14645,21.530422109329372,-0.2944221093293713
0.35306,21.81675,0.1515,22.02052164549356,-0.20377164549356053
0.28509,21.60225,0.15435,21.480766104145168,0.12148389585483343
0.21929,20.6719,0.1534,20.831271859982238,-0.15937185998223669
0.17537,20.24765,0.1249,20.288732609889777,-0.04108260988977719
0.23517,20.9929,0.1458,21.002959111073615,-0.010059111073616123
0.15298,19.99965,0.1096,19.961613953822642,0.03803604617735701
0.20982,20.90475,0.1584,20.72335964558536,0.18139035441463847
0.29121,21.51945,0.1501,21.533953296400902,-0.01450329640090331
0.31353,21.8225,0.14945,21.719614955732673,0.10288504426732814
0.13672,19.7402,0.1138,19.694839214919043,0.045360785080958976
0.29532,21.7708,0.1925,21.56910120577576,0.2016987942242423
0.30369,21.49625,0.135,21.639310875823845,-0.14306087582384563
0.20532,20.73155,0.1351,20.670501121564264,0.061048878435734366
0.12175,19.34125,0.09805,19.421611535558178,-0.08036153555817904
0.17424,20.2369,0.11045,20.273175360826606,-0.03627536082660754
0.24862,21.2028,0.13995,21.140234913369177,0.06256508663082272
0.2453,21.1159,0.14105,21.106995459885752,0.008904540114247794
0.13816,19.8495,0.1169,19.719630174490938,0.12986982550906134
0.24288,21.02795,0.1175,21.082505816707467,-0.054555816707466676
0.24237,21.18455,0.15195,21.077313864071563,0.10723613592843861
0.31437,21.3618,0.137,21.726365467697953,-0.36456546769795395
0.2754,21.4485,0.153,21.39437315448459,0.05412684551540892
0.30004,21.4204,0.15885,21.608914208515756,-0.1885142085157554
0.21735,20.89395,0.15665,20.809519642294276,0.08443035770572394
0.20311,20.5734,0.12555,20.64414755634008,-0.07074755634008056
0.19005,20.4061,0.1552,20.48280063124283,-0.07670063124283288
0.29003,21.3714,0.15315,21.523780303388214,-0.15238030338821318
0.22796,20.83435,0.15045,20.926373848193393,-0.09202384819339215
0.31032,21.45975,0.15795,21.693677025090615,-0.23392702509061536
0.13712,20.12265,0.11415,19.701745361165393,0.4209046388346067
0.08798,18.6796,0.1066,18.66620560674884,0.013394393251161318
0.08534,18.62285,0.1057,18.59604857503315,0.02680142496684823
0.19024,20.6486,0.11825,20.485221365170297,0.1633786348297015
0.09278,18.8576,0.109,18.78881439449828,0.06878560550171997
0.12891,19.58985,0.12795,19.555999958860482,0.03385004113951595
0.26136,21.1668,0.15835,21.264113051923715,-0.09731305192371664
0.26132,21.4559,0.17885,21.263732675978865,0.1921673240211348
0.1957,20.61715,0.12925,20.553820094737688,0.06332990526231086
0.14723,19.83975,0.1218,19.870432544007507,-0.030682544007508028
0.21154,21.14485,0.1818,20.74328901749692,0.4015609825030815
0.17972,20.30175,0.11325,20.347757977520644,-0.04600797752064523
0.1907,20.6928,0.11925,20.4910709379429,0.2017290620570975
0.3385,21.7897,0.1618,21.91346687608017,-0.12376687608017178
0.11762,19.41925,0.10595,19.340690568267604,0.07855943173239766
0.28854,21.5295,0.1639,21.510877617482528,0.018622382517470726
0.26377,21.2679,0.15695,21.286922997127277,-0.019022997127276398
0.24931,21.38165,0.1409,21.147090543600378,0.23455945639962295
