z,mu_SN,mu_err,mu_model_best,residual
0.21198,20.68915,0.12295,20.749036695174567,-0.059886695174565574
0.21327,20.78295,0.1364,20.763829870960635,0.019120129039364997
0.14393,19.83575,0.113,19.81877458810741,0.016975411892591552
0.25218,21.1678,0.16095,21.175270839718912,-0.007470839718912714
0.25641,21.2758,0.1749,21.216413644428897,0.05938635557110317
0.2186,20.976,0.1685,20.82409053816943,0.15190946183057008
0.07883,18.5397,0.12205,18.4175366339202,0.12216336607979983
0.08328,18.7438,0.11605,18.54348244525665,0.20031755474335
0.17008,20.2489,0.107,20.216682982653005,0.032217017346994226
0.23643,20.87655,0.14325,21.016285175743874,-0.13973517574387273
0.30538,21.3803,0.19765,21.652088064753592,-0.2717880647535935
0.08286,18.5179,0.1055,18.531872975765822,-0.013972975765820905
0.18905,20.2039,0.1187,20.471196332367313,-0.2672963323673123
0.08162,18.511,0.10425,18.497267510223992,0.013732489776007384
0.25626,21.2564,0.16145,21.21496538239242,0.04143461760757816
0.12631,19.58525,0.13485,19.51062183193943,0.07462816806056694
0.1028,19.16175,0.1443,19.029638364392305,0.13211163560769634
0.1244,19.4784,0.1006,19.474833630391316,0.0035663696086842833
0.37003,22.46065,0.1636,22.137966595806887,0.32268340419311414
0.20192,20.38595,0.11475,20.630738065602642,-0.24478806560264132
0.18004,20.68245,0.14335,20.353413582065123,0.32903641793487637
0.16163,20.1359,0.1299,20.094727110931174,0.041172889068825214
0.22644,20.8771,0.141,20.910313817445832,-0.03321381744583363
0.29649,21.4449,0.1446,21.578006951681317,-0.1331069516813166
0.24999,21.20115,0.13305,21.153720132401503,0.047429867598495434
0.14864,19.91815,0.1063,19.895166954545083,0.022983045454918027
0.14711,19.776,0.10335,19.870602185775155,-0.09460218577515533
0.2149,21.20185,0.1483,20.782404513763453,0.41944548623654754
0.14462,19.8106,0.13965,19.83011029746379,-0.019510297463789072
0.13226,19.9293,0.1333,19.618945166808615,0.31035483319138635
0.2195,21.00055,0.1346,20.834132040932715,0.16641795906728518
0.38447,22.40575,0.14945,22.235727805018783,0.17002219498121818
0.1742,20.3461,0.1115,20.274119541087927,0.07198045891207272
0.17772,20.20345,0.1224,20.322202585025934,-0.11875258502593411
0.29911,21.51975,0.1301,21.600049286308845,-0.08029928630884697
0.1187,19.44875,0.1339,19.364880441486108,0.08386955851389288
0.17685,20.2397,0.106,20.310401079555362,-0.07070107955536287
0.24526,21.3752,0.1882,21.106576061615634,0.2686239383843656
0.1959,20.54825,0.11935,20.55731818135095,-0.009068181350951221
0.24832,21.09655,0.1326,21.137169558033506,-0.04061955803350514
0.30617,21.77705,0.16135,21.65857504668365,0.11847495331634761
0.24616,21.1569,0.13055,21.115610409710555,0.04128959028944479
0.13527,19.9671,0.1135,19.672017607726602,0.2950823922733967
0.21028,20.6402,0.1335,20.72941453909671,-0.08921453909670873
0.23603,21.1547,0.12315,21.01212196376494,0.14257803623505794
0.17831,20.37535,0.1134,20.330175488196254,0.04517451180374721
0.22043,20.81795,0.15445,20.8444684916875,-0.026518491687500756
0.31468,21.8201,0.1572,21.727495777404293,0.09260422259570689
0.1846,20.55175,0.1118,20.41368892481701,0.13806107518298916
0.2611,21.2036,0.13865,21.261307788978,-0.057707788977999996
0.18122,20.21145,0.10535,20.36914551534076,-0.15769551534076243
0.38003,22.03255,0.1506,22.20603352046689,-0.1734835204668883
0.1846,20.38765,0.1082,20.41368892481701,-0.026038924817008535
0.20824,20.65465,0.12075,20.70567393805927,-0.05102393805927008
0.17746,20.33625,0.12905,20.318681316092402,0.017568683907597915
0.31555,21.7168,0.15355,21.734444986848985,-0.01764498684898541
0.24954,21.1676,0.1247,21.14927042359735,0.01832957640264965
0.20324,20.6509,0.11955,20.64656631020545,0.0043336897945494
0.12347,19.4198,0.10285,19.457221002724054,-0.037421002724055796
0.20314,20.64385,0.12035,20.6453705270185,-0.0015205270184992514
0.15352,20.1226,0.10495,19.971973019421682,0.15062698057831625
0.33398,21.9349,0.1592,21.877667455391133,0.05723254460886551
0.19582,20.5286,0.1151,20.55632854549245,-0.02772854549244741
0.24943,21.0769,0.14445,21.148181595140358,-0.07128159514035914
0.1549,20.0251,0.1063,19.99328045941175,0.03181954058824843
0.15625,19.98785,0.12595,20.013954447859575,-0.026104447859573554
0.15819,19.81685,0.12375,20.04337463013065,-0.22652463013065116
0.309,21.8114,0.19685,21.681687758710275,0.1297122412897238
0.24828,21.1261,0.1388,21.136771883759153,-0.010671883759151513
0.18484,20.31575,0.1235,20.41682299850629,-0.10107299850628948
0.18353,20.5074,0.1247,20.399670139655967,0.10772986034403331
0.18212,20.37965,0.13765,20.381080820467872,-0.001430820467870575
0.17675,20.28545,0.129,20.309041139836843,-0.023591139836842245
0.17748,20.0718,0.12115,20.31895235256774,-0.24715235256774193
