z,mu_SN,mu_err,mu_TFGR,delta_mu_data,delta_mu_model
0.77307,24.17605,0.17625,44.2835889778595,-0.3012721239662959,-0.4115900902622765
0.3705,22.15255,0.1043,42.12717006930952,-0.16835321541631387,-0.17523389335241554
0.69916,23.88895,0.1728,43.97292262625415,-0.27770577236094596,-0.3688982549649155
0.3735,22.11185,0.1039,42.14937445053193,-0.23125759663872358,-0.17699141393736822
0.85298,24.3052,0.1508,44.59292974977136,-0.4814628958781526,-0.45709594385569485
0.60326,23.58805,0.1429,43.526432145454436,-0.13211529156123092,-0.31277249853073313
0.53433,22.9223,0.1289,43.16751312337958,-0.4389462694863724,-0.27206076195468515
0.40048,22.2601,0.1151,42.343137710453306,-0.27677085656009837,-0.19284450349125978
0.3715,22.20135,0.10745,42.13457152971699,-0.12695467582378583,-0.17581960284620984
0.83999,24.0253,0.15175,44.54431764423988,-0.712750790346675,-0.4497473636402571
0.53278,23.059,0.11385,43.15898145840575,-0.29371460451254094,-0.2711430463135009
0.93225,24.704,0.21015,44.87685516833244,-0.3665883144392339,-0.5015129585746869
0.55381,23.2838,0.1242,43.272632808459406,-0.18256595456620062,-0.28358772117083025
0.84214,24.3261,0.1858,44.552409324334945,-0.42004247044173937,-0.4509649755549565
0.72767,23.8687,0.19785,44.09583794650024,-0.42087109260703315,-0.38543056478423393
0.44255,22.67285,0.1137,42.62429080765629,-0.14517395376308073,-0.21768739983768803
0.28251,21.5746,0.1073,41.39416652975669,-0.013299675863482463,-0.12442014607844094
0.51961,23.03865,0.109,43.085928318201205,-0.24101146430799858,-0.2633429274709301
1.0608,24.6873,0.16415,45.29722892777291,-0.8036620738797069,-0.5719375143855846
0.26849,21.24725,0.1051,41.25975991215712,-0.2062430582639152,-0.11650764768200599
0.2505,21.1763,0.1114,41.078172006429575,-0.09560515253636837,-0.10645852414562582
0.69816,23.7924,0.2171,43.96852877699432,-0.3698619231011122,-0.3683169824927662
0.73012,23.7684,0.19115,44.106231874501866,-0.5315650206086602,-0.3868475941099222
0.99781,24.6122,0.0953,45.096887777359775,-0.6784209234665681,-0.5376803017961572
0.40946,22.451,0.10895,42.40513022887584,-0.14786337498263435,-0.198136936610279
0.12679,19.5429,0.11965,39.37294917226044,-0.023782318367235433,-0.04240353334313862
0.25577,21.3344,0.1818,41.13263113173363,0.0080357221595726,-0.10938928313879931
0.08859,18.64345,0.10605,38.518624680424345,-0.06890782653113803,-0.025606789074453004
0.11782,19.19345,0.0991,39.195791551415574,-0.19607469752236995,-0.03827930795416075
0.18356,20.2951,0.1284,40.28331286368084,-0.18194600978763376,-0.07043223149141148
0.14055,19.871,0.11635,39.62288913990516,0.054377713988042586,-0.048912141565812875
0.15171,19.7933,0.10325,39.81038756789708,-0.21082071400387647,-0.05433717341382566
0.094,18.889,0.10285,38.657873489005404,0.03739336488780154,-0.02785384548581133
0.28631,21.6827,0.1504,41.42979376145007,0.05917309244313529,-0.1265757807119654
0.26318,21.3576,0.14295,41.20741312848982,-0.04354627459661131,-0.11352868449332254
0.14167,19.79675,0.1047,39.6424684478347,-0.039451593941496554,-0.04945093469397849
0.16053,19.9329,0.1156,39.9494554567093,-0.21028860281609596,-0.05870862369472777
0.1229,19.3948,0.11665,39.29749816456072,-0.09643131066751565,-0.04060286045798604
0.1262,19.36855,0.113,39.36150544615688,-0.1866885922636783,-0.042129259154139405
0.17331,20.15345,0.09925,40.140061562901295,-0.1803447090080894,-0.06516246346235893
