time,Bx,By,Bz,B_total
2019-03-06 19:33:35+00:00,-145365584.0,-17404063.6,623125.4,146405063.86979252
2019-03-06 19:33:36+00:00,-145365584.0,-17404094.0,623125.03,146405067.4820544
2019-03-06 19:33:37+00:00,-145365584.0,-17404125.6,623124.66,146405071.23697433
2019-03-06 19:33:38+00:00,-145365584.0,-17404156.0,623124.29,146405074.84924892
2019-03-06 19:33:39+00:00,-145365584.0,-17404187.6,623123.93,146405078.60422462
2019-03-06 19:33:40+00:00,-145365584.0,-17404218.0,623123.55,146405082.21646932
2019-03-06 19:33:41+00:00,-145365584.0,-17404249.6,623123.18,146405085.97141564
2019-03-06 19:33:42+00:00,-145365584.0,-17404280.0,623122.8,146405089.58367306
2019-03-06 19:33:43+00:00,-145365584.0,-17404311.6,623122.43,146405093.33863258
2019-03-06 19:33:44+00:00,-145365584.0,-17404342.0,623122.05,146405096.9509027
2019-03-06 19:33:45+00:00,-145365584.0,-17404373.6,623121.68,146405100.7058754
2019-03-06 19:33:46+00:00,-145365584.0,-17404404.0,623121.3,146405104.3181582
2019-03-06 19:33:47+00:00,-145365584.0,-17404436.0,623120.93,146405108.12069556
2019-03-06 19:33:48+00:00,-145365584.0,-17404466.4,623120.55,146405111.73299113
2019-03-06 19:33:49+00:00,-145365584.0,-17404498.0,623120.18,146405115.48799032
2019-03-06 19:33:50+00:00,-145365584.0,-17404528.4,623119.8,146405119.10029858
2019-03-06 19:33:51+00:00,-145365584.0,-17404560.0,623119.43,146405122.85531098
2019-03-06 19:33:52+00:00,-145365584.0,-17404590.4,623119.05,146405126.46763194
2019-03-06 19:33:53+00:00,-145365584.0,-17404622.0,623118.68,146405130.2226575
2019-03-06 19:33:54+00:00,-145365584.0,-17404652.4,623118.3,146405133.83499116
2019-03-06 19:33:55+00:00,-145365584.0,-17404684.0,623117.93,146405137.59002995
2019-03-06 19:33:56+00:00,-145365584.0,-17404714.4,623117.55,146405141.2023763
2019-03-06 19:33:57+00:00,-145365584.0,-17404746.0,623117.18,146405144.95742828
2019-03-06 19:33:58+00:00,-145365584.0,-17404776.4,623116.8,146405148.56978732
2019-03-06 19:33:59+00:00,-145365584.0,-17404808.0,623116.43,146405152.32485247
2019-03-06 19:34:00+00:00,-145365584.0,-17404838.4,623116.05,146405155.9372242
2019-03-06 19:34:01+00:00,-145365584.0,-17404870.0,623115.68,146405159.69230255
2019-03-06 19:34:02+00:00,-145365584.0,-17404900.4,623115.31,146405163.30472955
2019-03-06 19:34:03+00:00,-145365587.2,-17404932.0,623114.93,146405170.23705623
2019-03-06 19:34:04+00:00,-145365600.0,-17404962.4,623114.57,146405186.5586488
2019-03-06 19:34:05+00:00,-145365600.0,-17404994.0,623114.18,146405190.313668
2019-03-06 19:34:06+00:00,-145365600.0,-17405024.4,623113.82,146405193.92616257
2019-03-06 19:34:07+00:00,-145365600.0,-17405056.0,623113.44,146405197.68123755
2019-03-06 19:34:08+00:00,-145365600.0,-17405086.4,623113.07,146405201.29370221
2019-03-06 19:34:09+00:00,-145365600.0,-17405118.0,623112.7,146405205.04883295
2019-03-06 19:34:10+00:00,-145365600.0,-17405148.4,623112.32,146405208.6612678
2019-03-06 19:34:11+00:00,-145365600.0,-17405180.0,623111.95,146405212.4164117
