z,H_TFGR,q_TFGR,j_TFGR,H_LCDM,q_LCDM,j_LCDM,Omega_r_TFGR,Omega_m_TFGR,Omega_TF_TFGR
1.457384230287859905e+00,1.631750604813904033e+02,3.728616911586332128e-01,1.077826492360969723e+00,1.672542426421070445e+02,3.269345136526963791e-01,1.000000000000000000e+00,6.710900244128735785e-04,9.285101022791575343e-01,7.081880769642955042e-02
1.461126408010012812e+00,1.635163774165136203e+02,3.735097888781094277e-01,1.077440580948760829e+00,1.675923858674829887e+02,3.276341232159262207e-01,1.000000000000000000e+00,6.723714241854006216e-04,9.288685192236016963e-01,7.045910935221294524e-02
1.464868585732165274e+00,1.638580489310314192e+02,3.741538691559994634e-01,1.077057078096399279e+00,1.679308754641720043e+02,3.283302239601466055e-01,1.000000000000000000e+00,6.736519956517068516e-04,9.292247053144447877e-01,7.010164268990357050e-02
1.468610763454318180e+00,1.642000743610457789e+02,3.747939604594909824e-01,1.076675966733032119e+00,1.682697109029653859e+02,3.290228358605173375e-01,1.000000000000000000e+00,6.749317429246193181e-04,9.295786763615357939e-01,6.974639189553961949e-02
1.472352941176470642e+00,1.645424530461720849e+02,3.754300910399586133e-01,1.076297229917253517e+00,1.686088916567846923e+02,3.297119787756752074e-01,1.000000000000000000e+00,6.762106700994004529e-04,9.299304480548500340e-01,6.939334127505061844e-02
1.476095118898623548e+00,1.648851843295151696e+02,3.760622889345530684e-01,1.075920850836151743e+00,1.689484172006716278e+02,3.303976724482939886e-01,1.000000000000000000e+00,6.774887812537334344e-04,9.302800359653720097e-01,6.904247525337435520e-02
1.479837296620776010e+00,1.652282675576453244e+02,3.766905819677808798e-01,1.075546812804361041e+00,1.692882870117772995e+02,3.310799365056431576e-01,1.000000000000000000e+00,6.787660804477048393e-04,9.306274555459728148e-01,6.869377837357940053e-02
1.483579474342928917e+00,1.655717020805741981e+02,3.773149977530764199e-01,1.075175099263118828e+00,1.696285005693517292e+02,3.317587904601492776e-01,1.000000000000000000e+00,6.800425717237953190e-04,9.309727221322842139e-01,6.834723529599191771e-02
1.487321652065081379e+00,1.659154872517312356e+02,3.779355636943637076e-01,1.074805693779327553e+00,1.699690573547331951e+02,3.324342537099545525e-01,1.000000000000000000e+00,6.813182591068665892e-04,9.313158509435655041e-01,6.800283079732766245e-02
1.491063829787234285e+00,1.662596224279404851e+02,3.785523069876116642e-01,1.074438580044622560e+00,1.703099568513382849e+02,3.331063455394792649e-01,1.000000000000000000e+00,6.825931466041560087e-04,9.316568570835678242e-01,6.766054976982800728e-02
1.494806007509386747e+00,1.666041069693970087e+02,3.791652546223795994e-01,1.074073741874444377e+00,1.706511985446512085e+02,3.337750851199813296e-01,1.000000000000000000e+00,6.838672382052696404e-04,9.319957555413930228e-01,6.732037722040172534e-02
1.498548185231539653e+00,1.669489402396440312e+02,3.797744333833532049e-01,1.073711163207117014e+00,1.709927819222137373e+02,3.344404915101165110e-01,1.000000000000000000e+00,6.851405378821798665e-04,9.323325611923467537e-01,6.698229826977103452e-02
1.502290362953692116e+00,1.672941216055494351e+02,3.803798698518731647e-01,1.073350828102931365e+00,1.713347064736144318e+02,3.351025836564995863e-01,1.000000000000000000e+00,6.864130495892219186e-04,9.326672887987876859e-01,6.664629815162301241e-02
1.506032540675845022e+00,1.676396504372837342e+02,3.809815904074542181e-01,1.072992720743232598e+00,1.716769716904791210e+02,3.357613803942647301e-01,1.000000000000000000e+00,6.876847772630966969e-04,9.329999530109716055e-01,6.631236221176514678e-02
1.509774718397997484e+00,1.679855261082968809e+02,3.815796212292958400e-01,1.072636825429515106e+00,1.720195770664602435e+02,3.364169004476253999e-01,1.000000000000000000e+00,6.889557248228721795e-04,9.333305683678906339e-01,6.598047590728643719e-02
1.513516896120150390e+00,1.683317479952962117e+02,3.821739882977833735e-01,1.072283126582521007e+00,1.723625220972270142e+02,3.370691624304347211e-01,1.000000000000000000e+00,6.902258961699876509e-04,9.336591492981068940e-01,6.565062480572310399e-02
1.517259073842302852e+00,1.686783154782237375e+02,3.827647173959808358e-01,1.071931608741344411e+00,1.727058062804549365e+02,3.377181848467440406e-01,1.000000000000000000e+00,6.914952951882595567e-04,9.339857101205821799e-01,6.532279458422961260e-02
1.521001251564455758e+00,1.690252279402344584e+02,3.833518341111150640e-01,1.071582256562541913e+00,1.730494291158163378e+02,3.383639860913636999e-01,1.000000000000000000e+00,6.927639257438909359e-04,9.343102650455021863e-01,6.499697102875380550e-02
1.524743429286608221e+00,1.693724847676742229e+02,3.839353638360507581e-01,1.071235054819246191e+00,1.733933901049699386e+02,3.390065844504210335e-01,1.000000000000000000e+00,6.940317916854808538e-04,9.346328281750967415e-01,6.467314003321777971e-02
1.528485607008761127e+00,1.697200853500580138e+02,3.845153317707560858e-01,1.070889988400287596e+00,1.737376887515512180e+02,3.396459981019186447e-01,1.000000000000000000e+00,6.952988968440349188e-04,9.349534135044526018e-01,6.435128759870328841e-02
1.532227784730914033e+00,1.700680290800479781e+02,3.850917629237600170e-01,1.070547042309319741e+00,1.740823245611620678e+02,3.402822451162920148e-01,1.000000000000000000e+00,6.965652450329799187e-04,9.352720349223245799e-01,6.403139983264249935e-02
1.535969962453066495e+00,1.704163153534326511e+02,3.856646821136009429e-01,1.070206201663950196e+00,1.744272970413615269e+02,3.409153434569673902e-01,1.000000000000000000e+00,6.978308400481774820e-04,9.355887062119390141e-01,6.371346294801287502e-02
1.539712140175219401e+00,1.707649435691050144e+02,3.862341139702657467e-01,1.069867451694876737e+00,1.747726057016557775e+02,3.415453109809172827e-01,1.000000000000000000e+00,6.990956856679424007e-04,9.359034410517941271e-01,6.339746326253789532e-02
