p,q,dAIC,AIC,chi2,sqrtA
0.4375,0.52,24.33891535692851,1164.1421732039653,1158.1421732039653,2.1636213330086718
0.44375,0.52,23.769589824427385,1163.5728476714642,1157.5728476714642,2.1595405274707438
0.44999999999999996,0.52,23.173360675049025,1162.9766185220858,1156.9766185220858,2.155551108600323
0.45625,0.52,22.5514567733037,1162.3547146203405,1156.3547146203405,2.151651083611666
0.46249999999999997,0.52,21.90508117373406,1161.7083390207708,1155.7083390207708,2.1478384983022694
0.46875,0.52,21.23541090466051,1161.0386687516973,1155.0386687516973,2.1441114366047036
0.475,0.52,20.54359679986578,1160.3468546469026,1154.3468546469026,2.140468020126855
0.48125,0.52,19.830763376071445,1159.6340212231082,1153.6340212231082,2.136906407681665
0.4875,0.52,19.09800875407177,1158.9012666011085,1152.9012666011085,2.1334247948073766
0.49374999999999997,0.52,18.346404621385545,1158.1496624684223,1152.1496624684223,2.130021413279284
0.5,0.52,17.57699623433632,1157.380254081373,1151.380254081373,2.1266945306139515
0.50625,0.52,16.790802457455356,1156.5940603044921,1150.5940603044921,2.123442449566823
0.5125,0.52,15.988815838168648,1155.7920736852054,1149.7920736852054,2.1202635076241103
0.51875,0.52,15.172002714740984,1154.9752605617778,1148.9752605617778,2.1171560764898087
0.5249999999999999,0.52,14.341303355498894,1154.1445612025357,1148.1445612025357,2.114118561568678
0.53125,0.52,13.497632127390034,1153.3008899744268,1147.3008899744268,2.111149401445945
0.5375,0.52,12.64187769197838,1152.4451355390152,1146.4451355390152,2.1082470673644997
0.54375,0.52,11.774903227051482,1151.5781610740883,1145.5781610740883,2.105410062700273
0.55,0.52,10.897546672011913,1150.7008045190487,1144.7008045190487,2.102636922436501
0.5562499999999999,0.52,10.010620995339423,1149.8138788423762,1143.8138788423762,2.0999262126374876
0.5625,0.52,9.114914482418726,1148.9181723294555,1142.9181723294555,2.0972765299225
0.56875,0.52,8.211191042106293,1148.014448889143,1142.014448889143,2.0946865009403637
0.575,0.52,7.300190530457485,1147.1034483774943,1141.1034483774943,2.0921547818452932
0.58125,0.52,6.382629090101318,1146.185886937138,1140.185886937138,2.089680057774476
0.5874999999999999,0.52,5.459199503800619,1145.2624573508374,1139.2624573508374,2.0872610423278988
0.59375,0.52,4.530571560787166,1144.333829407824,1138.333829407824,2.084896477050848
0.6,0.52,3.5973924345494197,1143.4006502815862,1137.4006502815862,2.0825851309195156
0.2,0.54,15.769019216663764,1155.5722770637005,1149.5722770637005,2.428484992655001
0.20625000000000002,0.54,17.375990862525214,1157.179248709562,1151.179248709562,2.4186067747652698
0.21250000000000002,0.54,18.895355671168318,1158.698613518205,1152.698613518205,2.408937206812702
0.21875,0.54,20.328578075000905,1160.1318359220377,1154.1318359220377,2.3994724835051144
0.225,0.54,21.67715539632968,1161.4804132433665,1155.4804132433665,2.390208839777376
0.23125,0.54,22.9426150894526,1162.7458729364894,1156.7458729364894,2.3811425515579523
0.23750000000000002,0.54,24.126512011770046,1163.9297698588068,1157.9297698588068,2.3722699364907736
0.24375000000000002,0.54,25.230425729757826,1165.0336835767946,1159.0336835767946,2.3635873546118398
0.25,0.54,26.255957865281744,1166.0592157123185,1160.0592157123185,2.355091208980091
0.25625,0.54,27.204729487406894,1167.0079873344437,1161.0079873344437,2.3467779462622587
0.2625,0.54,28.07837855448497,1167.8816364015217,1161.8816364015217,2.338644057271534
0.26875,0.54,28.878557410949043,1168.6818152579858,1162.6818152579858,2.330686077460041
0.275,0.54,29.60693034286578,1169.4101881899026,1163.4101881899026,2.3229005873652393
0.28125,0.54,30.26517119597429,1170.068429043011,1164.068429043011,2.3152842130104823
0.2875,0.54,30.854961059510515,1170.6582189065473,1164.6582189065473,2.3078336262601344
0.29375,0.54,31.377986018855154,1171.181243865892,1165.181243865892,2.3005455451296886
0.3,0.54,31.835934979586,1171.6391928266228,1165.6391928266228,2.2934167340515037
0.30625,0.54,32.230497565262795,1172.0337554122996,1166.0337554122996,2.2864440040968326
0.3125,0.54,32.56336209088204,1172.3666199379188,1166.3666199379188,2.2796242131549276
0.31875,0.54,32.836213613626114,1172.639471460663,1166.639471460663,2.2729542660700908
0.325,0.54,33.050732062228235,1172.853989909265,1166.853989909265,2.2664311147376117
0.33125,0.54,33.208590445950904,1173.0118482929877,1167.0118482929877,2.2600517581596002
0.3375,0.54,33.311453143893004,1173.1147109909298,1167.1147109909298,2.2538132424618067
0.34375,0.54,33.36097427506547,1173.1642321221022,1167.1642321221022,2.2477126608725566
0.35,0.54,33.35879614939108,1173.1620539964279,1167.1620539964279,2.2417471536649822
0.35625,0.54,33.306547799560576,1173.1098056465974,1167.1098056465974,2.235913908063785
0.3625,0.54,33.20584359341092,1173.0091014404477,1167.0091014404477,2.230210158117793
0.36875,0.54,33.058281926285645,1172.8615397733224,1166.8615397733224,2.2246331845396026
0.375,0.54,32.865443992629025,1172.6687018396658,1166.6687018396658,2.2191803145136304
0.38125,0.54,32.628892635858165,1172.432150482895,1166.432150482895,2.2138489214739208
0.38749999999999996,0.54,32.350171275395724,1172.1534291224325,1166.1534291224325,2.2086364248530357
0.39375,0.54,32.03080290957496,1171.8340607566117,1165.8340607566117,2.203540289803421
0.4,0.54,31.672289192966446,1171.4755470400032,1165.4755470400032,2.1985580268925844
0.40625,0.54,31.276109586574194,1171.079367433611,1165.079367433611,2.193687191773458
0.4125,0.54,30.843720579177443,1170.6469784262142,1164.6469784262142,2.18892538483131
0.41874999999999996,0.54,30.37655497803894,1170.1798128250757,1164.1798128250757,2.1842702508085314
0.425,0.54,29.876021267061105,1169.6792791140979,1163.6792791140979,2.179719478408655
0.43125,0.54,29.343503030428337,1169.146760877465,1163.146760877465,2.1752707998808973
0.4375,0.54,28.780358439657448,1168.5836162866942,1162.5836162866942,2.1709219905865504
0.44375,0.54,28.187919801972157,1167.991177649009,1161.991177649009,2.166670868548463
0.44999999999999996,0.54,27.567493167821567,1167.3707510148583,1161.3707510148583,2.162515293984893
0.45625,0.54,26.920357995361883,1166.7236158423987,1160.7236158423987,2.1584531688289257
0.46249999999999997,0.54,26.247766869663337,1166.0510247167,1160.0510247167,2.154482436234664
0.46875,0.54,25.5509452744177,1165.3542031214545,1159.3542031214545,2.15060108007135
0.475,0.54,24.831091413883996,1164.6343492609208,1158.6343492609208,2.146807124406536
0.48125,0.54,24.089376082816898,1163.8926339298537,1157.8926339298537,2.143098632979407
0.4875,0.54,23.326942582150878,1163.1302004291877,1157.1302004291877,2.139473708665315
0.49374999999999997,0.54,22.544906678188454,1162.3481645252252,1156.3481645252252,2.1359304929325322
0.5,0.54,21.744356603089955,1161.5476144501267,1155.5476144501267,2.1324671652922182
0.50625,0.54,20.926353094487013,1160.7296109415238,1154.7296109415238,2.12908194274256
0.5125,0.54,20.091929472041556,1159.8951873190783,1153.8951873190783,2.1257730792079617
0.51875,0.54,19.242091748858456,1159.0453495958952,1153.0453495958952,2.1225388649741994
0.5249999999999999,0.54,18.37781877565908,1158.1810766226959,1152.1810766226959,2.1193776261203348
0.53125,0.54,17.50006241568326,1157.30332026272,1151.30332026272,2.1162877239482105
0.5375,0.54,16.60974774833494,1156.4130055953717,1150.4130055953717,2.1132675544102755
0.54375,0.54,15.707773299642668,1155.5110311466794,1149.5110311466794,2.1103155475364646
0.55,0.54,14.795011297639803,1154.5982691446766,1148.5982691446766,2.107430166860819
0.5562499999999999,0.54,13.872307950847016,1153.6755657978838,1147.6755657978838,2.104609908848492
0.5625,0.54,12.94048374809222,1152.743741595129,1146.743741595129,2.1018533023237533
0.56875,0.54,12.000333777939659,1151.8035916249764,1145.8035916249764,2.0991589078995885
0.575,0.54,11.052628066099942,1150.8558859131367,1144.8558859131367,2.0965253174094003
0.58125,0.54,10.098111929208244,1149.901369776245,1143.901369776245,2.093951153341367
0.5874999999999999,0.54,9.137506343461837,1148.9407641904986,1142.9407641904986,2.0914350682759055
0.59375,0.54,8.171508326629692,1147.9747661736665,1141.9747661736665,2.0889757443266985
0.6,0.54,7.200791332044673,1147.0040491790814,1141.0040491790814,2.0865718925857037
0.2,0.56,19.712853360496183,1159.516111207533,1153.516111207533,2.4468314846070185
0.20625000000000002,0.56,21.382374898852504,1161.1856327458893,1155.1856327458893,2.4365085254452965
0.21250000000000002,0.56,22.960913222414547,1162.7641710694513,1156.7641710694513,2.426405186045399
0.21875,0.56,24.449983617857242,1164.253241464894,1158.253241464894,2.416517402050158
0.225,0.56,25.851136082672838,1165.6543939297096,1159.6543939297096,2.406841154362267
0.23125,0.56,27.165952433648954,1166.9692102806857,1160.9692102806857,2.3973724698715073
0.23750000000000002,0.56,28.39604344587474,1168.1993012929115,1162.1993012929115,2.3881074221350187
0.24375000000000002,0.56,29.543046028395338,1169.346303875432,1163.346303875432,2.379042132010112
0.25,0.56,30.60862044225769,1170.4118782892945,1164.4118782892945,2.3701727682392515
0.25625,0.56,31.594447566350254,1171.397705413387,1165.397705413387,2.361495547986989
0.2625,0.56,32.50222621602552,1172.3054840630623,1166.3054840630623,2.3530067373288173
0.26875,0.56,33.33367051915161,1173.1369283661884,1167.1369283661884,2.3447026516919944
0.275,0.56,34.090507353844714,1173.8937652008815,1167.8937652008815,2.3365796562485723
0.28125,0.56,34.77447385174287,1174.5777316987796,1168.5777316987796,2.328634166260989
0.2875,0.56,35.387314970324496,1175.1905728173613,1169.1905728173613,2.3208626473806624
0.29375,0.56,35.93078113738625,1175.734038984423,1169.734038984423,2.31326161590021
0.3,0.56,36.406625970430014,1176.2098838174668,1170.2098838174668,2.3058276389599524
0.30625,0.56,36.81660407335448,1176.6198619203913,1170.6198619203913,2.298557334709523
0.3125,0.56,37.16246891248602,1176.9657267595228,1170.9657267595228,2.2914473724254334
0.31875,0.56,37.44597077364119,1177.249228620678,1171.249228620678,2.284494472585602
0.325,0.56,37.66885480159749,1177.4721126486343,1171.4721126486343,2.277695406901857
0.33125,0.56,37.832859122999025,1177.6361169700358,1171.6361169700358,2.271046998311554
0.3375,0.56,37.939713053459855,1177.7429709004966,1171.7429709004966,2.2645461209294653
0.34375,0.56,37.99113538929055,1177.7943932363273,1171.7943932363273,2.2581896999611937
0.35,0.56,37.98883278402673,1177.7920906310635,1171.7920906310635,2.251974711579364
0.35625,0.56,37.93449820966498,1177.7377560567018,1171.7377560567018,2.245898182763942
0.3625,0.56,37.82980950225897,1177.6330673492957,1171.6330673492957,2.239957191108011
