L_m,dt_tfgr
2742.957695504882,5.534192147193428e-19
2803.6504221226396,5.535818086069355e-19
2865.686081250926,5.53745163146734e-19
2929.094387615525,5.539092819485737e-19
2993.905713432359,5.540741686398728e-19
3060.151102955673,5.542398268657208e-19
3127.8622873480126,5.5440626028896925e-19
3197.0716998792786,5.545734725903215e-19
3267.8124914620903,5.547414674684242e-19
3340.118546530831,5.549102486399589e-19
3414.024499272178,5.550798198397329e-19
3489.5657502146264,5.552501848207729e-19
3566.778483185152,5.554213473544174e-19
3645.6996826410746,5.555933112304105e-19
3726.367151385339,5.557660802569947e-19
3808.819528673934,5.55939658261007e-19
3893.096308723812,5.56114049087973e-19
3979.237859630409,5.562892566022021e-19
4067.285442703733,5.564652846868843e-19
4157.281232232311,5.566421372441865e-19
4249.268335684364,5.568198181953493e-19
4343.290814356137,5.569983314807844e-19
4439.393704476947,5.571776810601736e-19
4537.623038781288,5.57357870912567e-19
4638.025868558272,5.575389050364824e-19
4740.6502861888475,5.577207874500039e-19
4845.545448181893,5.579035221908845e-19
4952.761598719823,5.580871133166445e-19
5062.350093725286,5.58271564904675e-19
5174.363425460376,5.584568810523385e-19
5288.855247670046,5.586430658770721e-19
5405.880401282066,5.588301235164902e-19
5525.494940675432,5.590180581284884e-19
5647.756160530116,5.592068738913476e-19
5772.722623270906,5.593965750038391e-19
5900.454187118389,5.595871656853299e-19
6031.012034760828,5.597786501758882e-19
6164.458702660229,5.599710327363903e-19
6300.858111006974,5.601643176486283e-19
6440.275594337248,5.603585092154166e-19
6582.777932827809,5.6055361176070125e-19
6728.433384283465,5.607496296296685e-19
6877.311716832062,5.609465671888545e-19
7029.4842423430555,5.61144428826255e-19
7185.023850585506,5.613432189514365e-19
7344.005044141752,5.615429419956473e-19
7506.503974093891,5.6174360241193e-19
7672.598476499599,5.619452046752338e-19
7842.368109675185,5.621477532825269e-19
8015.894192303568,5.623512527529123e-19
8193.259842385494,5.625557076277399e-19
8374.550017052452,5.627611224707235e-19
8559.85155326085,5.629675018680556e-19
8749.253209386292,5.63174850428524e-19
8942.845707738361,5.633831727836289e-19
9140.721778016123,5.635924735877005e-19
9342.976201724981,5.638027575180176e-19
9549.705857576686,5.640140292749262e-19
9761.009767893545,5.642262935819592e-19
9976.989146039581,5.644395551859571e-19
10197.747444901195,5.646538188571893e-19
10423.390406440347,5.64869089389474e-19
10654.026112344589,5.650853716003029e-19
10889.765035797422,5.65302670330963e-19
11130.720094394348,5.6552099044666e-19
11377.006704229809,5.657403368366437e-19
11628.742835180643,5.659607144143324e-19
11886.049067413263,5.66182128117439e-19
12149.048649140674,5.664045829080973e-19
12417.867555657718,5.666280837729896e-19
12692.634549682565,5.668526357234741e-19
12973.481243033117,5.670782437957142e-19
13260.542159668612,5.6730491305080715e-19
13553.95480012564,5.675326485749148e-19
13853.859707380165,5.677614554793942e-19
14160.400534166787,5.67991338900929e-19
14473.72411178766,5.682223040016615e-19
14793.980520443605,5.68454355969327e-19
15121.323161122009,5.686875000173856e-19
15455.908829074799,5.689217413851584e-19
15797.897788922523,5.691570853379622e-19
16147.453851420254,5.693935371672455e-19
16504.74445192174,5.696311021907254e-19
16869.940730580372,5.698697857525249e-19
17243.21761432408,5.701095932233123e-19
17624.753900644402,5.703505300004385e-19
18014.732343239513,5.705926015080792e-19
18413.33973955193,5.708358131973742e-19
18820.76702024385,5.7108017054656865e-19
19237.209340651534,5.713256790611568e-19
