L_m,Delta_t,Phi_t,dPhi_dL
76991578.1241456,8.359930159397821e-19,9.75889922988935e-10,-1.161332865166888e-17
78695151.17254378,8.375373559223162e-19,9.565278480376682e-10,-1.1133220432013174e-17
80436418.74808295,8.39089505376678e-19,9.37555463207364e-10,-1.0673016900988168e-17
82216214.90796912,8.4064950603004735e-19,9.18964826941722e-10,-1.023189062841037e-17
84035392.16437873,8.42217399847252e-19,9.007481612679767e-10,-9.809048666164822e-18
85894821.89280912,8.437932290321998e-19,8.828978483966556e-10,-9.403731107853264e-18
87795394.74946111,8.453770360293183e-19,8.654064273925878e-10,-9.015209708737882e-18
89738021.0978585,8.469688635250028e-19,8.482665909156077e-10,-8.642786563451484e-18
91723631.4449074,8.485687544490751e-19,8.314711820295038e-10,-8.285792839051703e-18
93753176.88660224,8.501767519762493e-19,8.150131910777889e-10,-7.943587561097506e-18
95827629.56359752,8.517928995276094e-19,7.98885752624839e-10,-7.615556450524424e-18
97947983.12685604,8.534172407720928e-19,7.830821424610825e-10,-7.301110809189543e-18
100115253.2136026,8.550498196279851e-19,7.675957746708474e-10,-6.999686452044014e-18
102330477.9338087,8.566906802644241e-19,7.524201987615606e-10,-6.7107426839792536e-18
104594718.36743958,8.583398671029111e-19,7.375490968530225e-10,-6.433761319473625e-18
106909059.07270806,8.599974248188356e-19,7.229762809254485e-10,-6.168245743245842e-18
109274608.60556996,8.616633983430048e-19,7.086956901250954e-10,-5.913720010195684e-18
111692500.0507166,8.633378328631856e-19,6.947013881262218e-10,-5.669727982985588e-18
114163891.56431614,8.650207738256554e-19,6.809875605482074e-10,-5.435832505686732e-18
116689966.92876212,8.667122669367618e-19,6.675485124266845e-10,-5.2116146119764735e-18
119271936.11970107,8.68412358164493e-19,6.543786657375059e-10,-4.9966727664410395e-18
121911035.88560224,8.701210937400583e-19,6.41472556972489e-10,-4.79062213759561e-18
124608530.34015326,8.71838520159475e-19,6.288248347658088e-10,-4.5930939012930956e-18
127365711.56776366,8.735646841851708e-19,6.164302575699891e-10,-4.4037345732492264e-18
130183900.24246617,8.752996328475909e-19,6.042836913804424e-10,-4.2222053694633944e-18
133064446.26051004,8.770434134468174e-19,5.923801075075557e-10,-4.048181593367825e-18
136008729.38695687,8.787960735541994e-19,5.807145803952796e-10,-3.881352048585099e-18
139018159.91657782,8.805576610139921e-19,5.692822854853008e-10,-3.721418476222019e-18
142094179.34937757,8.823282239450047e-19,5.580784971257904e-10,-3.568095015672176e-18
145238261.08106488,8.841078107422626e-19,5.470985865238182e-10,-3.421107687942807e-18
148451911.10879856,8.858964700786746e-19,5.363380197405118e-10,-3.280193900564239e-18
151736668.75255492,8.876942509067147e-19,5.25792355728039e-10,-3.145101973175989e-18
155094107.3924509,8.895012024601133e-19,5.154572444075755e-10,-3.015590682926441e-18
158525835.2223847,8.913173742555566e-19,5.053284247873608e-10,-2.8914288288558404e-18
162033496.02035218,8.931428160943997e-19,4.954017231200157e-10,-2.7723948144679086e-18
165618769.9358045,8.949775780643866e-19,4.856730510983038e-10,-2.658276247729343e-18
169283374.29443383,8.968217105413864e-19,4.761384040885018e-10,-2.5488695577677994e-18
173029064.4207602,8.986752641911345e-19,4.667938594006248e-10,-2.4439796275701208e-18
176857634.47892243,9.005382899709871e-19,4.5763557459470665e-10,-2.343419442010781e-18
180770918.3320731,9.024108391316876e-19,4.486597858223871e-10,-2.2470097505695976e-18
184770790.42078573,9.042929632191417e-19,4.398628062030726e-10,-2.1545787441246164e-18
188859166.66090545,9.061847140762044e-19,4.3124102423391807e-10,-2.06596174523083e-18
193038005.36125883,9.080861438444792e-19,4.227909022329582e-10,-1.9810009113211843e-18
197309308.1616732,9.099973049661269e-19,4.14508974814662e-10,-1.899544950289578e-18
201675120.99175164,9.119182501856857e-19,4.063918473972417e-10,-1.8214488479377923e-18
206137535.05085823,9.138490325519037e-19,3.984361947410579e-10,-1.7465736067907996e-18
210698687.80979547,9.157897054195797e-19,3.9063875951744156e-10,-1.6747859958045177e-18
215360764.03463727,9.177403224514225e-19,3.82996350907333e-10,-1.6059583105114737e-18
220125996.83322036,9.197009376199104e-19,3.7550584322907965e-10,-1.5399681431676352e-18
224996668.72478992,9.216716052091757e-19,3.681641745948014e-10,-1.4766981624825144e-18
229975112.7333144,9.236523798168868e-19,3.609683455947095e-10,-1.416035902532137e-18
235063713.50498688,9.256433163561538e-19,3.539154180088141e-10,-1.3578735604710087e-18
240264908.4504624,9.27644470057439e-19,3.4700251354541466e-10,-1.3021078026758348e-18
245581188.91236007,9.296558964704813e-19,3.402268126058459e-10,-1.248639578968067e-18
251015101.358603,9.31677651466234e-19,3.335855530749068e-10,-1.1973739445786294e-18
256569248.6021627,9.337097912388104e-19,3.2707602913643954e-10,-1.1482198895307146e-18
262246291.0477876,9.357523723074444e-19,3.206955901135416e-10,-1.1010901751311482e-18
268048947.9663277,9.378054515184653e-19,3.1444163933287286e-10,-1.055901177273533e-18
273979998.797246,9.3986908604728e-19,3.0831163301257873e-10,-1.0125727362686535e-18
280042284.47995466,9.41943333400369e-19,3.023030791733168e-10,-9.71028012929286e-19
286238708.8146103,9.440282514172994e-19,2.964135365719108e-10,-9.311933506489702e-19
292572239.8530128,9.461238982727406e-19,2.90640613657159e-10,-8.929981432239843e-19
299045911.32029206,9.482303324785031e-19,2.8498196754732234e-10,-8.563747081787771e-19
305662824.0680404,9.503476128855828e-19,2.794353030288567e-10,-8.212581653655274e-19
312426147.559604,9.524757986862206e-19,2.739983715759301e-10,-7.875863206175245e-19
319339121.3882389,9.546149494159745e-19,2.6866897039029393e-10,-7.552995542453272e-19
326405056.8288524,9.567651249558032e-19,2.634449414610896e-10,-7.243407141739126e-19
333627338.4240925,9.589263855341648e-19,2.583241706441561e-10,-6.946550135269942e-19
341009425.60551965,9.610987917291265e-19,2.533045867604514e-10,-6.661899324730372e-19
348554854.3506556,9.632824044704886e-19,2.4838416071317496e-10,-6.388951241552293e-19
356267238.876698,9.65477285041921e-19,2.4356090462320184e-10,-6.127223245350975e-19
364150273.3717039,9.67683495083112e-19,2.388328709824528e-10,-5.876252659864129e-19
372207733.7640934,9.699010965919326e-19,2.341981518248105e-10,-5.635595944831752e-19
380443479.531292,9.721301519266123e-19,2.296548779142339e-10,-5.404827902316441e-19
388861455.54839975,9.743707238079288e-19,2.2520121794969742e-10,-5.183540916030194e-19
397465693.9777652,9.76622875321412e-19,2.2083537778660784e-10,-4.9713442222896085e-19
406260316.2003619,9.788866699195586e-19,2.1655559967435907e-10,-4.767863211283012e-19
415249534.7899158,9.81162171424066e-19,2.1236016150967528e-10,-4.572738757384178e-19
424437655.5306976,9.834494440280745e-19,2.0824737610542876e-10,-4.385626577304461e-19
433829079.47997046,9.857485522984251e-19,2.0421559047459696e-10,-4.20619661492082e-19
443428305.07607096,9.880595611779328e-19,2.0026318512904864e-10,-4.034132451669857e-19
453239930.2931376,9.903825359876733e-19,1.9638857339284633e-10,-3.869130741442496e-19
463268654.84350646,9.927175424292796e-19,1.925902007297672e-10,-3.710900668958082e-19
473519282.4288575,9.950646465872609e-19,1.8886654408473562e-10,-3.5591634306398244e-19
483996723.0411531,9.974239149313277e-19,1.8521611123888944e-10,-3.41365173705571e-19
494705995.3144976,9.997954143187365e-19,1.8163744017798717e-10,-3.2741093360246923e-19
505652228.9290367,1.0021792119966477e-18,1.7812909847387944e-10,-3.140290555529621e-19
516840667.0680365,1.0045753756044944e-18,1.7468968267877617e-10,-3.0119598656111046e-19
528276668.9293507,1.006983973176373e-18,1.713178177320333e-10,-2.8888914584519045e-19
539965712.2924373,1.009405073143442e-18,1.6801215637920994e-10,-2.770868845895664e-19
551913396.142186,1.0118387443363385e-18,1.6477137860313163e-10,-2.657684473673288e-19
564125443.3508021,1.0142850559876084e-18,1.6159419106671106e-10,-2.5491393516417643e-19
576607703.41902,1.0167440777341537e-18,1.584793265672866e-10,-2.4450426993697677e-19
589366155.2779949,1.019215879619692e-18,1.554255435022264e-10,-2.3452116064307346e-19
602406910.1531671,1.0217005320972336e-18,1.5243162534557842e-10,-2.2494707067911256e-19
615736214.4915063,1.024198106031573e-18,1.4949638013552543e-10,-2.157651866709141e-19
629360452.953527,1.0267086727017945e-18,1.4661863997242296e-10,-2.0695938855798225e-19
643286151.4714934,1.0292323038037934e-18,1.4379726052720362e-10,-1.9851422091894598e-19
657519980.3753191,1.031769071452817e-18,1.4103112055992277e-10,-1.904148654862624e-19
672068757.5876076,1.0343190481860153e-18,1.3831912144824545e-10,-1.8264711480076382e-19
686939451.8893995,1.036882306965009e-18,1.3566018672565936e-10,-1.751973469585894e-19
702139186.2581826,1.0394589211784781e-18,1.3305326162921524e-10,-1.6805250140517695e-19
717675241.2797453,1.0420489646447571e-18,1.3049731265659675e-10,-1.612000557327136e-19
733555058.6355531,1.0446525116144565e-18,1.279913271323205e-10,-1.5462800343934662e-19
749786244.6672597,1.0472696367730938e-18,1.2553431278288484e-10,-1.4832483261021664e-19
766376574.0201042,1.0499004152437417e-18,1.2312529732067395e-10,-1.4227950548198587e-19
783333993.3669215,1.0525449225896933e-18,1.207633280364386e-10,-1.3648143885411106e-19
800666625.2145567,1.0552032348171458e-18,1.184474714001742e-10,-1.3092048531175798e-19
818382771.7944862,1.0578754283778957e-18,1.1617681267022353e-10,-1.2558691522656863e-19
836490919.039558,1.0605615801720552e-18,1.1395045551042744e-10,-1.204713995030021e-19
854999740.6486934,1.063261767550784e-18,1.1176752161516457e-10,-1.1556499303927562e-19
